t,x,y,theta0,phi1,theta1,phi2,theta2,phi3,theta3,phi4,theta4,phi5,theta5,phi6,theta6,phi7,theta7,phi8,theta8,phi9,theta9,phi10,theta10,x1,Y1,x2,y2,x3,y3,Trix[1],Triy[1],Trix[2],Triy[2],Trix[3],Triy[3],varphi1,varphi2,varphi3,z21,z22,z31,z32,z41,z42,z51,z52,z61,z62,z71,z72,z81,z82,z91,z92,al21,al22,al31,al32,al33,al41,al42,al43,al44,al51,al52,al53,al54,al55,al61,al62,al63,al66,al71,al72,al73,al76,al77,al81,al82,al83,al88,al91,al92,al93,al99,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,v1,v2,v3,PSx,PSy,d,d0d,Q,nh1,nh2,nh3,nh4,nh5,nh6,nh7,nh8,nh9,nh10,thetap1d,thetap2d,dthetap2d,thetap3d,dthetap3d,thetap4d,thetap5d,dthetap5d,thetap6d,dthetap6d,thetap7d,thetap8d,dthetap8d,thetap9d,dthetap9d,thetap10d,delta1d,delta2d,delta3d,thetap0,thetap1,thetap2,thetap3,thetap4,thetap5,thetap6,thetap7,thetap8,thetap9,thetap10,thetaT,K81,K82,K83,K84,K91,K92,K93,K94
0.02,-6.50019,-1.00782,0.00318726,0.0037354,0.00101292,0.790408,-0.785511,-0.77553,0.785647,0.000859573,3.14152,-1.96005,1.96137,-3.52629,3.53221,0.397397,-0.394835,-2.87825,2.88196,-4.45103,4.45249,-0.52312,0.525743,-5.45024,-1.00609,-7.80928,0.588564,-7.77451,-2.67029,-4.90019,-1.0062,-7.30159,0.377008,-7.29879,-2.39427,0.0101935,0.400758,-0.524286,0,-0.0078213,-0.0135075,0.00101292,-0.033786,-0.785511,0.0190306,0.785512,-0.00582884,3.14148,-0.0329705,1.96137,-0.00383274,3.53217,-0.0200975,-0.394825,-0.0147755,1.00012,-0.0024548,-1.25014,1.25014,-0.19557,8.8899,-17.7798,8.87088,0.322695,-4.37253,8.74513,-8.77527,4.36908,0.023939,0.00917586,-0.0183336,-1.11485,-0.281472,-32.942,16.5156,0,16.3537,0.151101,6.75901,-3.3949,3.37038,0.0159647,0.047136,-0.0190015,-1.19817,0.200023,0.159363,0.18677,0.250508,0.228228,0.167595,0.172254,0.293925,-0.0940085,0.0770977,0.0859245,0.171284,0.198153,0.198783,0.204033,-6.5,-1,-0.0078213,0,0,0,-0,0,0,-0,0,0,0,0,-0,0,-0.785511,-0.001897,0.785512,0.00117927,3.14159,1.96137,-0.000766549,3.53217,-0.0040195,-0.392699,2.88196,-0.0160475,4.45273,-0.00274351,0.523599,0,0,0,0,0.00101292,-0.785511,0.785512,3.14148,1.96137,3.53217,-0.394825,2.88196,4.45275,0.525743,0,-4.91282,2.50634,9.45816e-06,0.270181,0.00166884,0.262333,-0.263251,-0.00375182
0.04,-6.50068,-1.02374,0.0124851,0.0131271,0.00201891,0.801041,-0.785593,-0.767863,0.785691,0.00828001,3.14144,-1.95043,1.96116,-3.51895,3.53194,0.404848,-0.395047,-2.8702,2.88201,-4.44441,4.45247,-0.51725,0.525803,-5.45077,-1.02032,-7.81112,0.571941,-7.77359,-2.68704,-4.90069,-1.02051,-7.30348,0.36028,-7.29788,-2.411,0.0179852,0.408034,-0.517736,0.00318839,-0.0237428,-0.0115638,0.00201891,-0.0461084,-0.785593,0.00933819,0.785594,-0.00561901,3.1414,-0.00656835,1.96116,-0.020228,3.53196,-0.0209858,-0.395033,-0.014779,1.00036,-2.39765e-05,-1.25044,1.25046,-0.341452,8.93685,-17.874,8.90541,0.405239,-4.39944,8.79909,-8.78539,4.36197,0.0126932,0.0095217,-0.0190067,-1.1096,0.184811,-33.1626,16.5945,0,16.5146,-0.0893185,6.8348,-3.41686,3.3949,-0.0034998,0.0550659,-0.0221757,-1.20782,0.200071,0.464892,0.469587,0.531629,0.547504,0.47765,0.481081,0.650416,0.233031,0.402437,0.420156,0.51467,0.198196,0.199906,0.205436,-6.5,-1,-0.0237428,0,0,-2.1684e-19,-1.04083e-17,-1.01915e-17,-3.38813e-17,-2.00577e-17,-2.00577e-17,-3.64292e-17,-1.91904e-17,7.00395e-17,6.53774e-17,0,-0.785593,-0.00277918,0.785594,0.00113369,3.14159,1.96116,-0.00404561,3.53196,-0.00419717,-0.392699,2.88201,-0.0199452,4.45279,-0.00249215,0.523599,0,0,0,0.00318726,0.00201891,-0.785593,0.785594,3.1414,1.96116,3.53196,-0.395033,2.88201,4.45281,0.525801,0,-4.93038,2.52871,9.54631e-06,1.06626,0.00363587,0.263831,-0.265842,-0.00563501
0.06,-6.50068,-1.02379,0.0210554,0.0217818,0.00202172,0.810624,-0.785593,-0.766768,0.785483,0.00920011,3.14144,-1.94165,1.96116,-3.51777,3.5318,0.405936,-0.395048,-2.86259,2.88201,-4.44318,4.45214,-0.516415,0.525804,-5.45078,-1.02036,-7.81113,0.571895,-7.77359,-2.68708,-4.90069,-1.02055,-7.30348,0.360234,-7.29788,-2.41104,0.0188726,0.409077,-0.516843,0.0124901,-0.0237869,-0.0114424,0.00202172,-0.03614,-0.785593,-0.0426708,0.785594,-0.00576559,3.1414,1.08197e-05,1.96116,-0.0542145,3.53196,-0.021022,-0.395033,-0.0147824,1.00051,0.000127612,-1.2506,1.25068,-0.257294,9.03478,-18.0708,9.0137,0.0933108,-4.49632,8.99309,-8.89322,4.4238,-0.0449352,0.00946121,-0.0188872,-1.09927,0.301604,-33.6811,16.7136,0,16.9266,-0.25264,7.0472,-3.46523,3.41489,-0.0449827,0.0561698,-0.0224267,-1.21493,0.200086,0.428517,0.432733,0.479151,0.605039,0.523655,0.439081,0.709333,0.287456,0.380586,0.481732,0.55641,0.200388,0.200799,0.209651,-6.5,-1,-0.0237869,0,0,-4.33681e-19,1.0842e-17,1.0842e-17,-1.07336e-17,3.03577e-18,3.03577e-18,-5.85469e-18,-4.0766e-17,-1.30538e-16,-1.16498e-16,0,-0.785593,-0.00806442,0.785594,0.00114177,3.14159,1.96116,-0.0108429,3.53196,-0.0042044,-0.392699,2.88201,-0.0370459,4.45279,-0.00248078,0.523599,0,0,0,0.0124851,0.00202172,-0.785593,0.785594,3.1414,1.96116,3.53196,-0.395033,2.88201,4.45281,0.525802,0,-4.94097,2.59208,9.7855e-06,0.949086,0.00364201,0.270442,-0.272503,-0.0103196
0.08,-6.50066,-1.02401,0.029026,0.0298238,0.00203472,0.819355,-0.785599,-0.766026,0.7853,0.0100585,3.14143,-1.93354,1.96115,-3.5166,3.53167,0.406999,-0.395057,-2.85533,2.88201,-4.44198,4.45181,-0.515614,0.525802,-5.45076,-1.02055,-7.81112,0.571668,-7.77355,-2.68731,-4.90067,-1.02075,-7.30348,0.360003,-7.29784,-2.41127,0.019438,0.410127,-0.515979,0.021066,-0.0240075,-0.0113196,0.00203472,-0.0289484,-0.785599,-0.0903304,0.785601,-0.00628517,3.14139,0.00479653,1.96115,-0.0849922,3.53195,-0.0210421,-0.395042,-0.0147901,1.0008,0.000281487,-1.25094,1.25109,-0.196474,9.12634,-18.2548,9.11331,-0.17758,-4.59108,9.18288,-8.99885,4.48014,-0.0963164,0.00898627,-0.01794,-1.0893,0.392344,-34.1825,16.8306,0,17.3199,-0.394587,7.25121,-3.51203,3.43176,-0.0829151,0.0571396,-0.0226336,-1.22093,0.200115,0.398527,0.402099,0.436534,0.662838,0.566574,0.405498,0.767509,0.340585,0.362872,0.541269,0.596468,0.202333,0.201559,0.213794,-6.5,-1,-0.0240075,0,0,0,-6.07153e-18,-5.63785e-18,2.83519e-17,6.93889e-18,5.29091e-17,4.22839e-17,-3.68629e-17,-3.64292e-17,-1.70762e-17,0,-0.785599,-0.0130584,0.7856,0.00122778,3.14159,1.96115,-0.0169984,3.53195,-0.00420842,-0.392699,2.88201,-0.0537668,4.45279,-0.00246893,0.523599,0,0,0,0.0210554,0.00203472,-0.785599,0.785601,3.14139,1.96115,3.53195,-0.395042,2.88201,4.45281,0.525801,0,-4.95193,2.65438,1.00208e-05,0.847618,0.00365348,0.276942,-0.279055,-0.0151332
0.1,-6.5006,-1.02423,0.0364442,0.0373026,0.00204524,0.827336,-0.785609,-0.765356,0.785139,0.010403,3.14142,-1.92603,1.96114,-3.51549,3.53154,0.407155,-0.395066,-2.84842,2.882,-4.44087,4.45148,-0.515375,0.525797,-5.45069,-1.02074,-7.81106,0.571445,-7.77347,-2.68754,-4.9006,-1.02096,-7.30343,0.359773,-7.29776,-2.4115,0.019956,0.411115,-0.515188,0.0290445,-0.0242285,-0.0112156,0.00204524,-0.0236781,-0.785609,-0.133148,0.78561,-0.00616822,3.14138,0.00813792,1.96114,-0.113196,3.53193,-0.0197924,-0.395056,-0.0148011,1.0012,0.000412517,-1.25142,1.25163,-0.15166,9.21265,-18.4283,9.20597,-0.411972,-4.67961,9.36025,-9.0969,4.52961,-0.142316,0.00917957,-0.0183269,-1.08003,0.460681,-34.6709,16.9458,0,17.699,-0.518695,7.44884,-3.5576,3.44621,-0.119197,0.0463821,-0.0182365,-1.22501,0.200156,0.370908,0.373942,0.399049,0.714865,0.610108,0.375593,0.822078,0.399796,0.345873,0.596645,0.637272,0.204039,0.202217,0.217866,-6.5,-1,-0.0242285,0,0,0,1.73472e-18,2.1684e-18,4.3097e-17,1.73472e-18,8.67362e-19,-7.48099e-18,-4.33681e-17,-1.30972e-16,-1.41814e-16,0,-0.785609,-0.0173018,0.78561,0.00118676,3.14159,1.96114,-0.0226392,3.53194,-0.00395848,-0.392699,2.882,-0.0701392,4.45278,-0.00229085,0.523599,0,0,0,0.029026,0.00204524,-0.785609,0.78561,3.14138,1.96114,3.53193,-0.395056,2.882,4.4528,0.525793,0,-4.96294,2.7155,9.01907e-06,0.751695,0.00489095,0.282797,-0.285685,-0.0203161
0.12,-6.50048,-1.02445,0.0433537,0.0442637,0.00205411,0.834653,-0.785618,-0.764702,0.784995,0.0110975,3.14141,-1.91905,1.96112,-3.51446,3.53142,0.408073,-0.39508,-2.84183,2.88199,-4.43983,4.45115,-0.514733,0.525789,-5.45058,-1.02094,-7.81096,0.571224,-7.77335,-2.68776,-4.90049,-1.02116,-7.30333,0.359545,-7.29763,-2.41173,0.0204758,0.412044,-0.514469,0.0364735,-0.0244495,-0.0111268,0.00205411,-0.0198999,-0.785618,-0.171577,0.785619,-0.00651687,3.14137,0.010574,1.96112,-0.139201,3.53192,-0.0197941,-0.395069,-0.0148148,1.00169,0.000525137,-1.25202,1.25228,-0.119502,9.29409,-18.5921,9.29236,-0.614766,-4.76181,9.52496,-9.18724,4.57286,-0.182341,0.00887377,-0.0177173,-1.07146,0.514671,-35.146,17.0587,0,18.0654,-0.629476,7.6405,-3.60199,3.45892,-0.151666,0.0470275,-0.0183617,-1.22953,0.200205,0.345477,0.348054,0.365885,0.761541,0.644835,0.348634,0.873011,0.445673,0.32939,0.647882,0.669387,0.205539,0.202799,0.221867,-6.5,-1,-0.0244495,0,0,-1.73472e-18,0,-2.1684e-19,-2.22804e-17,1.82146e-17,1.56125e-17,1.89735e-17,1.99493e-17,1.07553e-16,1.17853e-16,0,-0.785618,-0.0212931,0.785619,0.00124329,3.14159,1.96112,-0.0278401,3.53192,-0.00395882,-0.392699,2.88199,-0.0861737,4.45278,-0.00227366,0.523599,0,0,0,0.0364442,0.00205411,-0.785618,0.785619,3.14137,1.96112,3.53192,-0.395069,2.88199,4.45279,0.525785,0,-4.97414,2.77556,9.21892e-06,0.660958,0.00492,0.289053,-0.292015,-0.0253338
0.14,-6.50032,-1.02467,0.0497951,0.0507487,0.00206188,0.841379,-0.785627,-0.764116,0.784865,0.010917,3.14141,-1.91257,1.96111,-3.51349,3.53132,0.406609,-0.39508,-2.83555,2.88199,-4.43887,4.45084,-0.514852,0.525785,-5.45043,-1.02114,-7.81081,0.571004,-7.77318,-2.68799,-4.90033,-1.02137,-7.30318,0.359318,-7.29746,-2.41196,0.0209364,0.412901,-0.513816,0.0433967,-0.0246705,-0.0110504,0.00206188,-0.0173064,-0.785627,-0.206473,0.785628,-0.00575578,3.14136,0.0123684,1.96111,-0.163256,3.53191,-0.016252,-0.395082,-0.0148305,1.00225,0.000622536,-1.25269,1.25302,-0.0975824,9.37101,-18.7468,9.37303,-0.791909,-4.83913,9.67993,-9.27177,4.61137,-0.219438,0.00976054,-0.0194888,-1.06346,0.558138,-35.6081,17.1692,0,18.4199,-0.729312,7.82632,-3.64518,3.47024,-0.185193,0.0140303,-0.00544227,-1.23058,0.200261,0.322069,0.324251,0.336308,0.80415,0.686948,0.324237,0.920664,0.516214,0.313662,0.695605,0.705189,0.206871,0.203322,0.225784,-6.5,-1,-0.0246705,0,0,0,3.46945e-18,6.50521e-18,-5.31259e-17,2.08167e-17,2.42861e-17,2.84061e-17,2.25514e-17,2.25514e-17,1.71304e-17,0,-0.785627,-0.0244647,0.785627,0.00107032,3.14159,1.96111,-0.0326513,3.53191,-0.00325041,-0.392699,2.88199,-0.101822,4.45277,-0.00200722,0.523599,0,0,0,0.0433537,0.00206188,-0.785627,0.785628,3.14136,1.96111,3.53191,-0.395082,2.88199,4.45278,0.525776,0,-4.98546,2.83437,9.98336e-06,0.575437,0.00671772,0.294381,-0.298502,-0.0307393
0.16,-6.50012,-1.02489,0.0558057,0.0567962,0.00206867,0.847579,-0.785634,-0.76359,0.784746,0.011059,3.1414,-1.90653,1.9611,-3.51259,3.53121,0.405681,-0.395083,-2.82958,2.88198,-4.43797,4.45053,-0.514762,0.525779,-5.45023,-1.02134,-7.81061,0.570784,-7.77297,-2.68821,-4.90012,-1.02158,-7.30298,0.359091,-7.29725,-2.41218,0.0213498,0.413709,-0.513216,0.0498546,-0.0248917,-0.0109849,0.00206867,-0.0156588,-0.785634,-0.238283,0.785635,-0.00549247,3.14136,0.0136879,1.9611,-0.185565,3.53189,-0.0135987,-0.395095,-0.0148476,1.00285,0.000706713,-1.25343,1.25381,-0.0839836,9.44369,-18.893,9.44846,-0.947149,-4.91202,9.82605,-9.35106,4.64586,-0.252217,0.0101128,-0.020193,-1.05599,0.593499,-36.0569,17.2772,0,18.7628,-0.81986,8.00637,-3.68717,3.48042,-0.215685,-0.0112952,0.00435435,-1.23198,0.200322,0.300532,0.302374,0.309964,0.843347,0.721648,0.302083,0.965336,0.576969,0.298752,0.740171,0.735645,0.208061,0.203795,0.229606,-6.5,-1,-0.0248917,0,0,-1.73472e-18,1.73472e-18,-1.95156e-18,2.49366e-18,5.20417e-18,3.46945e-18,-5.20417e-18,-4.16334e-17,5.0307e-17,2.75387e-17,0,-0.785634,-0.0275282,0.785635,0.00100078,3.14159,1.9611,-0.0371129,3.5319,-0.00271975,-0.392699,2.88198,-0.117049,4.45276,-0.00182729,0.523599,0,0,0,0.0497951,0.00206867,-0.785634,0.785635,3.14136,1.9611,3.53189,-0.395095,2.88198,4.45277,0.525767,0,-4.99673,2.89169,9.43955e-06,0.494865,0.00785234,0.299834,-0.304738,-0.0360388
0.18,-6.49987,-1.02511,0.0614202,0.0624417,0.00207451,0.853308,-0.785641,-0.763117,0.784638,0.0115927,3.14139,-1.90089,1.96109,-3.51174,3.53112,0.406432,-0.395096,-2.82389,2.88197,-4.43713,4.45024,-0.514284,0.525771,-5.44998,-1.02155,-7.81037,0.570564,-7.77271,-2.68843,-4.89987,-1.02179,-7.30274,0.358865,-7.29699,-2.41241,0.0217223,0.414475,-0.512666,0.0558844,-0.0251131,-0.0109289,0.00207451,-0.0147493,-0.785641,-0.267395,0.785643,-0.00580364,3.14135,0.0146891,1.96109,-0.206314,3.53188,-0.0135806,-0.395107,-0.0148658,1.00349,0.000779267,-1.25422,1.25465,-0.0769789,9.51244,-19.0313,9.5191,-1.08383,-4.98085,9.96403,-9.4256,4.67692,-0.28104,0.00983528,-0.0196399,-1.04898,0.623236,-36.4927,17.3826,0,19.0946,-0.902778,8.18079,-3.72794,3.48969,-0.241891,-0.0116114,0.00445023,-1.23526,0.200386,0.280723,0.282275,0.28647,0.879614,0.74833,0.281864,1.00718,0.614509,0.284537,0.781706,0.759563,0.209131,0.204228,0.233336,-6.5,-1,-0.0251131,0,0,0,0,4.33681e-19,-2.43945e-17,2.25514e-17,2.08167e-17,2.28767e-17,-2.25514e-17,-2.08167e-17,-5.01986e-17,0,-0.785641,-0.0305603,0.785642,0.00105325,3.14159,1.96109,-0.0412627,3.53188,-0.00271612,-0.392699,2.88197,-0.131869,4.45275,-0.00180291,0.523599,0,0,0,0.0558057,0.00207451,-0.785641,0.785643,3.14135,1.96109,3.53188,-0.395107,2.88197,4.45277,0.525759,0,-5.00803,2.94764,9.62252e-06,0.418893,0.00788742,0.305634,-0.310645,-0.0411903
0.2,-6.49957,-1.02533,0.0666709,0.0677215,0.00207949,0.858622,-0.785649,-0.762678,0.784538,0.0116835,3.14139,-1.89562,1.96107,-3.51093,3.53103,0.406064,-0.395102,-2.81846,2.88196,-4.43634,4.44995,-0.514282,0.525767,-5.44969,-1.02176,-7.81007,0.570344,-7.77241,-2.68865,-4.89958,-1.02201,-7.30245,0.358639,-7.29669,-2.41264,0.0220667,0.415197,-0.512157,0.0615121,-0.0253347,-0.0108834,0.00207107,-0.0144066,-0.785657,-0.294134,0.785641,-0.00558538,3.14133,0.0154448,1.96107,-0.225649,3.53186,-0.0119369,-0.395128,-0.0148871,1.00416,0.000840808,-1.25503,1.25551,-0.0750915,9.57752,-19.1623,9.5854,-1.20481,-5.04591,10.0945,-9.49578,4.70504,-0.3078,0.0101368,-0.0202431,-1.04242,0.648474,-36.9153,17.4851,0,19.4157,-0.979014,8.34966,-3.76751,3.49817,-0.267837,-0.0279581,0.0106566,-1.23691,0.200453,0.262539,0.263987,0.265698,0.913813,0.777746,0.263377,1.04685,0.661873,0.271216,0.820976,0.784926,0.210096,0.204626,0.236969,-6.49943,-1,-0.0253347,0,2,-1.73472e-18,-1.73472e-18,-2.38524e-18,-2.17925e-17,-1.38778e-17,-8.67362e-18,-6.01732e-18,-8.67362e-18,8.1532e-17,9.86624e-17,0,-0.785674,-0.0331273,0.785657,0.000994502,3.14159,1.96107,-0.0451297,3.53186,-0.00238739,-0.392699,2.88195,-0.146266,4.45273,-0.00161982,0.523599,0,0,0,0.0614117,0.00207107,-0.785657,0.785641,3.14133,1.96107,3.53186,-0.395128,2.88195,4.45275,0.525744,8.42143e-06,-5.01929,3.00211,9.91032e-06,0.347131,0.00899833,0.310773,-0.316583,-0.0465094
