t,x,y,theta0,phi1,theta1,phi2,theta2,phi3,theta3,phi4,theta4,phi5,theta5,phi6,theta6,phi7,theta7,phi8,theta8,phi9,theta9,phi10,theta10,x1,Y1,x2,y2,x3,y3,Trix[1],Triy[1],Trix[2],Triy[2],Trix[3],Triy[3],varphi1,varphi2,varphi3,z21,z22,z31,z32,z41,z42,z51,z52,z61,z62,z71,z72,z81,z82,z91,z92,al21,al22,al31,al32,al33,al41,al42,al43,al44,al51,al52,al53,al54,al55,al61,al62,al63,al66,al71,al72,al73,al76,al77,al81,al82,al83,al88,al91,al92,al93,al99,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,v1,v2,v3,PSx,PSy,d,d0d,Q,nh1,nh2,nh3,nh4,nh5,nh6,nh7,nh8,nh9,nh10,thetap1d,thetap2d,dthetap2d,thetap3d,dthetap3d,thetap4d,thetap5d,dthetap5d,thetap6d,dthetap6d,thetap7d,thetap8d,dthetap8d,thetap9d,dthetap9d,thetap10d,delta1d,delta2d,delta3d,thetap0,thetap1,thetap2,thetap3,thetap4,thetap5,thetap6,thetap7,thetap8,thetap9,thetap10,thetaT
0.04,-6.50244,-1.01504,5.61404e-05,0.00102157,0.000958103,0.795668,-0.785648,-0.773273,0.785655,-0.0288499,3.14138,-1.94456,1.9612,-3.40743,3.53201,0.266631,-0.394815,-2.92345,2.88198,-4.55122,4.45253,-0.4324,0.52562,-5.45256,-1.01326,-7.81142,0.581477,-7.77684,-2.67747,-4.90245,-1.01351,-7.30377,0.369834,-7.30112,-2.40145,0.0125949,0.519397,-0.62431,2.95476e-05,0,-0.0124155,0.000958103,-0.0220406,-0.785648,-0.0117941,0.785649,-0.0102063,3.14134,-0.0253797,1.9612,-0.00408736,3.53199,-0.0145555,-0.394998,-0.0147738,1,-0.00109,-1.25,1.25,-0.110904,8.91779,-17.8356,8.91053,0.0944475,-4.43422,8.86845,-8.85995,4.42274,-0.00580966,0.00464812,-0.00928749,-1.11003,-0.138503,-32.9305,16.5146,0,16.3368,0.0953237,6.74922,-3.3921,3.3723,0.00845373,-0.00193042,0.000778486,-1.19438,0.1,0.00132964,0.00317351,0.351591,0.476514,-1.39153,0.957537,6.22808,-6.40921,-2.24798,-4.92199,4.63239,0.0997694,0.0992319,0.103947,-6.5,-1,0,0,0,8.13152e-20,4.71628e-18,4.71628e-18,1.75099e-17,1.07878e-17,1.07878e-17,1.48875e-17,-1.11131e-17,-1.09504e-17,-5.63785e-18,0,-0.785648,-0.00336949,0.785649,0.00102093,3.14159,1.9612,-0.000408737,3.53199,-0.00145555,-0.392699,2.88198,-0.0123226,4.45276,-0.00157339,0.523599,0,0,0,2.95476e-05,0.000958103,-0.785648,0.785649,3.14134,1.9612,3.53199,-0.394998,2.88198,4.45278,0.525767,0
0.06,-6.50246,-1.01508,8.00739e-05,0.00102164,0.000958114,0.795549,-0.785649,-0.773449,0.78553,-0.0292388,3.14138,-1.94597,1.9612,-3.41969,3.53175,0.279733,-0.394815,-2.92271,2.88198,-4.60477,4.45528,-0.382304,0.525621,-5.45257,-1.0133,-7.81143,0.581433,-7.77685,-2.67751,-4.90246,-1.01355,-7.30378,0.369789,-7.30113,-2.40149,0.0122942,0.506868,-0.675111,5.61404e-05,0,-0.0124487,0.000958114,0.0412951,-0.785649,-0.0746462,0.78565,-0.0102029,3.14134,0.301754,1.9612,-0.138891,3.53199,-0.0145289,-0.394999,-0.0147738,1,-0.00113152,-1.25,1.25,0.457777,8.98129,-17.9625,9.03869,-0.755761,-4.49734,8.99456,-8.98736,4.54863,-0.0758871,0.00465145,-0.00929413,-1.11024,5.46544,-33.9571,16.745,0,17.9632,-2.80682,7.17162,-3.48688,3.75506,-0.169017,-0.00202328,0.000801929,-1.32994,0.1,0.00119668,0.00317619,-0.00595672,0.467686,-1.41098,-0.0704901,5.61485,-5.75409,0.0371669,-7.59988,7.13718,0.102609,0.110495,0.0678855,-6.5,-1,0,0,0,0,1.51788e-18,1.84314e-18,-1.95156e-18,0,-2.38524e-17,-2.02305e-17,-2.08167e-17,-1.9082e-17,-2.04982e-17,0,-0.785649,-0.00651483,0.785649,0.00101415,3.14159,1.9612,-0.0138891,3.53199,-0.00145289,-0.392699,2.88198,0.0971948,4.45276,-0.00153999,0.523599,0,0,0,5.61404e-05,0.000958114,-0.785649,0.78565,3.14134,1.9612,3.53199,-0.394999,2.88198,4.45278,0.525766,0
0.08,-6.5025,-1.01531,0.000101614,0.00102176,0.00095781,0.794985,-0.785625,-0.773765,0.785509,-0.0268127,3.14141,-1.94676,1.96131,-3.42416,3.53188,0.281269,-0.394684,-2.92544,2.88211,-4.61283,4.45541,-0.378023,0.525735,-5.45261,-1.01355,-7.8115,0.581156,-7.77686,-2.6778,-4.9025,-1.01377,-7.30383,0.369568,-7.30118,-2.40171,0.0119282,0.5024,-0.68316,8.00739e-05,0,-0.0124793,0.00095781,0.0406614,-0.785625,-0.0729031,0.785625,-0.0050422,3.14137,0.277583,1.96131,-0.129146,3.5321,0.00605089,-0.394888,-0.0147738,1,-0.00116986,-1.25,1.25,0.452581,8.98021,-17.9603,9.03694,-0.742122,-4.4934,8.9867,-8.98166,4.54515,-0.0800205,0.00991096,-0.0198033,-1.11056,5.03256,-33.8748,16.724,0,17.8382,-2.57589,7.14181,-3.48022,3.72719,-0.147635,-0.172821,0.0685741,-1.30318,0.1,0.00107701,0.00319746,-0.0281848,0.439666,-1.06716,-0.0396352,5.39709,-4.88709,-0.136176,-7.99606,6.65884,0.102556,0.10967,0.0685427,-6.5,-1,0,0,0,0,4.33681e-19,5.96311e-19,-1.18178e-17,-9.75782e-18,-3.29597e-17,-3.98986e-17,-9.54098e-18,-8.67362e-18,-4.11997e-18,0,-0.785625,-0.00538346,0.785625,0.000491551,3.14159,1.96131,-0.0129146,3.5321,0.000605089,-0.392699,2.88211,0.0951848,4.45289,-0.00276121,0.523599,0,0,0,8.00739e-05,0.00095781,-0.785625,0.785625,3.14137,1.96131,3.5321,-0.394888,2.88211,4.45291,0.525903,0
0.1,-6.50253,-1.01553,0.000121,0.00102248,0.000954558,0.794732,-0.785614,-0.773909,0.785509,-0.0257598,3.14142,-1.94842,1.96152,-3.43418,3.5321,0.291126,-0.394485,-2.93011,2.88235,-4.63495,4.45593,-0.356679,0.525954,-5.45262,-1.01378,-7.81157,0.580828,-7.77682,-2.67813,-4.90253,-1.014,-7.30385,0.36935,-7.3012,-2.40193,0.011775,0.492401,-0.704976,0.000101614,0,-0.0125144,0.000954558,0.0359762,-0.785614,-0.0673956,0.785614,-0.00488138,3.14138,0.266303,1.96152,-0.124742,3.53232,0.00569756,-0.394673,-0.0147738,1,-0.00121368,-1.25,1.25,0.410898,8.97508,-17.9501,9.02697,-0.674756,-4.48629,8.97249,-8.96898,4.53424,-0.0740464,0.0100802,-0.0201415,-1.11076,4.82973,-33.8241,16.7075,0,17.7746,-2.46987,7.12885,-3.47738,3.71459,-0.142596,-0.170163,0.0675442,-1.29878,0.1,0.000969308,0.00339612,-0.0126654,0.42426,-1.01452,-0.0829406,4.90664,-4.39423,-0.233747,-9.0902,7.72603,0.102327,0.10929,0.0665164,-6.5,-1,0,0,0,-2.71051e-20,3.46945e-18,3.68629e-18,-3.79471e-18,-2.38524e-18,-2.1684e-18,-6.93889e-18,-1.73472e-18,4.16334e-17,4.09828e-17,0,-0.785614,-0.00507725,0.785614,0.000476487,3.14159,1.96152,-0.0124741,3.53232,0.000569756,-0.392699,2.88235,0.101327,4.45313,-0.00274313,0.523599,0,0,0,0.000101614,0.000954558,-0.785614,0.785614,3.14138,1.96152,3.53232,-0.394673,2.88235,4.45314,0.526137,0
0.12,-6.50253,-1.01575,0.000138448,0.00102372,0.000948727,0.79505,-0.785633,-0.773728,0.785532,-0.0273348,3.14145,-1.94937,1.96165,-3.43962,3.53225,0.283736,-0.394164,-2.93218,2.88247,-4.6542,4.45649,-0.415461,0.525952,-5.45264,-1.01399,-7.81159,0.580552,-7.77681,-2.67839,-4.90253,-1.01423,-7.30385,0.369135,-7.30122,-2.40214,0.0119441,0.48679,-0.723668,0.000121,0,-0.0125532,0.000948727,0.0339093,-0.785633,-0.0646684,0.785632,0.0330255,3.14136,0.238295,1.96165,-0.113415,3.53245,0.153412,-0.394548,-0.0147738,1,-0.00126219,-1.25,1.25,0.392942,8.97278,-17.9455,9.02253,-0.643933,-4.48249,8.96488,-8.96265,4.52907,-0.115178,0.0487261,-0.0973615,-1.11262,4.3334,-33.7282,16.683,0,17.6305,-2.20697,7.09417,-3.46964,3.6823,-0.0959413,-1.40527,0.558528,-1.18928,0.1,0.000872377,0.00374984,0.0158877,0.428842,0.605555,-0.0472133,4.64109,1.23309,-0.103581,-10.0469,-2.38897,0.102219,0.108334,0.062866,-6.5,-1,0,0,0,0,2.27682e-18,2.60209e-18,9.54098e-18,-9.1073e-18,-9.1073e-18,-1.21431e-17,1.30104e-17,-3.29597e-17,-3.1225e-17,0,-0.785633,0.00270954,0.785632,-0.00334854,3.14159,1.96165,-0.0113417,3.53244,0.0153412,-0.392699,2.88247,0.112403,4.45323,-0.0132967,0.523599,0,0,0,0.000121,0.000948727,-0.785633,0.785632,3.14136,1.96165,3.53245,-0.394548,2.88247,4.45326,0.526243,0
0.14,-6.50252,-1.01597,0.000154151,0.00102618,0.000936947,0.795432,-0.785652,-0.773528,0.785547,-0.029253,3.14144,-1.9495,1.96167,-3.44033,3.53229,0.285201,-0.394142,-2.93375,2.88255,-4.66598,4.4568,-0.409028,0.526034,-5.45263,-1.01421,-7.81156,0.580329,-7.77679,-2.67864,-4.90252,-1.01447,-7.30381,0.368925,-7.30122,-2.40236,0.0121755,0.486103,-0.735211,0.000138448,0,-0.0126045,0.000936947,0.0371838,-0.785652,-0.0671792,0.785651,0.0331671,3.14134,0.221127,1.96167,-0.106547,3.53247,0.152479,-0.394523,-0.0147738,1,-0.00132627,-1.25,1.25,0.423381,8.97567,-17.9512,9.02879,-0.685359,-4.48392,8.96774,-8.96706,4.53447,-0.118272,0.0488871,-0.0976845,-1.11282,4.03161,-33.6753,16.6703,0,17.5467,-2.04795,7.07332,-3.46493,3.66258,-0.101187,-1.40219,0.557752,-1.18291,0.1,0.000785139,0.00446176,0.01909,0.434767,0.509647,-0.00654737,4.6071,1.30634,-0.0783226,-10.6317,-2.06733,0.102349,0.107752,0.0612511,-6.5,-1,0,0,0,2.71051e-20,9.75782e-19,8.13152e-19,-1.38778e-17,1.73472e-18,2.47198e-17,1.73472e-17,-1.9082e-17,-2.08167e-17,-2.77556e-17,0,-0.785652,0.00261675,0.785652,-0.00336552,3.14159,1.96167,-0.0106548,3.53247,0.0152479,-0.392699,2.88255,0.117286,4.45332,-0.012999,0.523599,0,0,0,0.000138448,0.000936947,-0.785652,0.785651,3.14134,1.96167,3.53247,-0.394523,2.88255,4.45335,0.526326,0
0.16,-6.50247,-1.01619,0.000168283,0.00102969,0.000920018,0.795497,-0.785661,-0.773317,0.785539,-0.0294294,3.14144,-1.94953,1.96168,-3.44068,3.5323,0.285813,-0.394124,-2.93323,2.88253,-4.66885,4.45693,-0.428082,0.526015,-5.45259,-1.01446,-7.8115,0.580111,-7.77677,-2.67885,-4.90247,-1.01472,-7.30374,0.368715,-7.30119,-2.40256,0.0123785,0.485746,-0.737935,0.000154151,0,-0.0126664,0.000920018,0.0413022,-0.785661,-0.0703362,0.78565,0.0354454,3.14134,0.2179,1.96168,-0.105441,3.53248,0.157485,-0.394511,-0.0147738,1,-0.00140371,-1.25,1.25,0.461639,8.97914,-17.9582,9.0365,-0.737479,-4.48561,8.97112,-8.9724,4.54116,-0.124626,0.051231,-0.10237,-1.11324,3.9749,-33.6673,16.6679,0,17.5343,-2.01905,7.07049,-3.46422,3.6592,-0.101467,-1.44506,0.574847,-1.1791,0.1,0.000706625,0.00548369,0.00327704,0.439032,0.596308,-0.00154847,4.59004,1.55623,0.0256583,-10.7758,-4.28599,0.102513,0.107653,0.0599678,-6.5,-1,0,0,0,-2.71051e-20,2.38524e-18,2.38524e-18,8.67362e-18,2.38524e-18,-2.1684e-17,-2.08167e-17,-1.99493e-17,-6.245e-17,-6.76542e-17,0,-0.785661,0.00292299,0.785655,-0.00359841,3.14159,1.96168,-0.0105442,3.53248,0.0157485,-0.392699,2.88253,0.121151,4.45331,-0.0144163,0.523599,0,0,0,0.000154151,0.000920018,-0.785661,0.78565,3.14134,1.96168,3.53248,-0.394511,2.88253,4.45333,0.526316,0
0.18,-6.5024,-1.01642,0.000181002,0.00103381,0.00090012,0.795401,-0.785658,-0.773389,0.785536,-0.0292571,3.14144,-1.94945,1.96168,-3.44037,3.5323,0.285631,-0.394129,-2.92954,2.88236,-4.65333,4.45659,-0.444392,0.525849,-5.45252,-1.01473,-7.8114,0.579901,-7.77677,-2.67898,-4.9024,-1.01498,-7.30365,0.368502,-7.30115,-2.40278,0.0123014,0.486055,-0.722592,0.000168283,0,-0.0127338,0.00090012,0.0427562,-0.785658,-0.0707619,0.785647,0.0356022,3.14134,0.216137,1.96168,-0.104946,3.53248,0.157413,-0.394515,-0.0147738,1,-0.00148797,-1.25,1.25,0.475937,8.97973,-17.9594,9.03858,-0.753072,-4.48443,8.96875,-8.97208,4.54243,-0.125323,0.0514104,-0.10273,-1.1135,3.94396,-33.6652,16.667,0,17.5301,-2.00377,7.06955,-3.46391,3.65755,-0.102334,-1.44499,0.574819,-1.17857,0.1,0.000635963,0.00668433,-0.00479724,0.428697,0.604922,0.00403862,4.60521,1.54709,0.184953,-10.0091,-5.10152,0.102555,0.107604,0.0602242,-6.5,-1,0,0,0,0,4.33681e-18,4.66207e-18,-1.64799e-17,4.77049e-18,-1.9082e-17,-1.73472e-17,-1.73472e-17,-1.73472e-17,-1.73472e-17,0,-0.785658,0.00293343,0.785653,-0.00361472,3.14159,1.96168,-0.0104946,3.53248,0.0157413,-0.392699,2.88236,0.120332,4.45313,-0.0144592,0.523599,0,0,0,0.000168283,0.00090012,-0.785658,0.785647,3.14134,1.96168,3.53248,-0.394515,2.88236,4.45315,0.526137,0
0.2,-6.5023,-1.01665,0.00019245,0.00103834,0.000878142,0.795267,-0.785653,-0.773549,0.785536,-0.0290356,3.14144,-1.94985,1.96173,-3.44306,3.53235,0.290884,-0.394132,-2.92589,2.88217,-4.6302,4.456,-0.394333,0.525736,-5.45242,-1.015,-7.81128,0.579657,-7.77675,-2.67911,-4.9023,-1.01524,-7.30352,0.368288,-7.30109,-2.40299,0.0121432,0.483426,-0.699934,0.000181002,0,-0.0128047,0.000878142,0.042842,-0.785653,-0.0698148,0.785646,0.0313529,3.14134,0.217312,1.96173,-0.105681,3.53253,0.117511,-0.394459,-0.0147738,1,-0.00157653,-1.25,1.25,0.477933,8.97885,-17.9576,9.03778,-0.750036,-4.48186,8.96363,-8.969,4.54098,-0.119261,0.0470897,-0.0940985,-1.11341,3.96386,-33.6673,16.6658,0,17.5383,-2.01582,7.07256,-3.4645,3.65944,-0.109048,-1.10969,0.441347,-1.20141,0.1,0.000572366,0.00801007,-0.00673098,0.414109,0.418402,-0.0203596,4.47372,0.13253,0.182497,-8.86176,2.40154,0.102536,0.107657,0.0629903,-6.5,-1,0,0,0,5.42101e-20,5.42101e-18,5.69206e-18,-5.20417e-18,1.30104e-18,-2.29851e-17,-2.25514e-17,0,-1.73472e-18,-1.73472e-18,0,-0.785653,0.00212223,0.785649,-0.00318564,3.14159,1.96173,-0.010568,3.53253,0.0117511,-0.392699,2.88217,0.111885,4.45295,-0.00794365,0.523599,0,0,0,0.000181002,0.000878142,-0.785653,0.785646,3.14134,1.96173,3.53253,-0.394459,2.88217,4.45296,0.525957,0
0.22,-6.50218,-1.01686,0.000202752,0.00104249,0.000858058,0.795205,-0.785652,-0.773598,0.785538,-0.0289749,3.14144,-1.95018,1.96178,-3.44509,3.5324,0.293281,-0.39409,-2.92317,2.88203,-4.61244,4.45553,-0.407428,0.525602,-5.4523,-1.01524,-7.81115,0.579439,-7.7767,-2.67924,-4.90219,-1.01549,-7.30337,0.368093,-7.301,-2.40319,0.0120948,0.481398,-0.682509,0.00019245,0,-0.0128692,0.000858058,0.0424583,-0.785652,-0.0684698,0.785645,0.0314985,3.14134,0.209901,1.96178,-0.102853,3.53258,0.117155,-0.394413,-0.0147738,1,-0.00165718,-1.25,1.25,0.47558,8.97763,-17.9552,9.03614,-0.740882,-4.479,8.95792,-8.96517,4.53871,-0.117885,0.0472545,-0.0944296,-1.11365,3.83358,-33.6431,16.6588,0,17.5032,-1.9483,7.06436,-3.46259,3.65124,-0.110187,-1.1082,0.44087,-1.19871,0.1,0.00051513,0.0092216,-0.00308025,0.405467,0.421437,-0.0161764,4.37412,0.252399,0.135848,-7.98077,1.74681,0.102497,0.107414,0.0657546,-6.5,-1,0,0,0,-5.42101e-20,-3.14419e-18,-3.25261e-18,2.68882e-17,6.50521e-18,6.50521e-18,8.67362e-18,5.20417e-18,-4.16334e-17,-3.98986e-17,0,-0.785652,0.0022159,0.785648,-0.00319894,3.14159,1.96178,-0.0102852,3.53258,0.0117155,-0.392699,2.88203,0.103453,4.45281,-0.00821626,0.523599,0,0,0,0.00019245,0.000858058,-0.785652,0.785645,3.14134,1.96178,3.53258,-0.394413,2.88203,4.45282,0.525819,0
