t,x,y,theta0,phi1,theta1,phi2,theta2,phi3,theta3,phi4,theta4,phi5,theta5,phi6,theta6,phi7,theta7,phi8,theta8,phi9,theta9,phi10,theta10,x1,Y1,x2,y2,x3,y3,Trix[1],Triy[1],Trix[2],Triy[2],Trix[3],Triy[3],varphi1,varphi2,varphi3,z21,z22,z31,z32,z41,z42,z51,z52,z61,z62,z71,z72,z81,z82,z91,z92,z101,z102,z111,z112,z121,z122,al21,al22,al31,al32,al33,al41,al42,al43,al44,al51,al52,al53,al54,al55,al61,al62,al63,al66,al71,al72,al73,al76,al77,al81,al82,al83,al88,al91,al92,al93,al99,al101,al102,al103,al1010,al111,al112,aL113,al1110,al1111,al121,al122,al123,al1210,,al1211,al1212u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,v1,v2,v3,PSx,PSy,d,d0d,Q,nh1,nh2,nh3,nh4,nh5,nh6,nh7,nh8,nh9,nh10,thetap1d,thetap2d,dthetap2d,thetap3d,dthetap3d,thetap4d,thetap5d,dthetap5d,thetap6d,dthetap6d,thetap7d,thetap8d,dthetap8d,thetap9d,dthetap9d,thetap10d,deltap1d,delta2d,delta3d,thetap0,thetap1,thetap2,thetap3,thetap4,thetap5,thetap6,thetap7,thetap8,thetap9,thetap10,thetaT,K81,K82,K83,K84,K91,K92,K93,K94,sr.Cs, sr.Cs1, 1 - sr.d*sr.Cs,b4,b5,b6,b7,b8,b9,b10,b11,b12
0,-6.50006,-2.00129,0,0,-2.11473e-05,0.523599,-0.523603,-0.523598,0.523595,-3.93463e-05,3.14159,-2.61799,2.22593,-3.27313,3.27313,0.392545,-0.392065,-3.66519,4.1897,-3.14251,3.14251,-0.523685,0.524518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.14159,0,0,0,0,-0.392699,0,0,0,0,0.523599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.02,-6.50006,-2.00129,0.0130973,0.0284822,-2.11473e-05,0.568719,-0.523603,-0.473761,0.523594,0.0360905,3.14161,-2.17166,2.22593,-3.19065,3.28145,0.441471,-0.392053,-4.39826,4.1897,1.7316,3.15075,9.48145,0.524533,-5.45006,-2.00132,-7.8083,-0.40548,-7.77615,-3.66235,-4.90006,-2.00132,-7.30003,-0.615633,-7.30009,-3.38691,0.049812,0.482848,4.35783,0,-0.00129084,-0.0474338,-2.11473e-05,-0.0470666,-0.523603,-0.0475744,0.523595,-0.0473624,3.14159,-3.44433,2.22593,2.04017,3.27313,-0.0475398,-0.392065,4.40401,4.1897,-2.26968,3.14251,-0.0474058,0.524518,-0.0474103,1.00006,-0.0118322,-1.25008,1.25008,-0.00829939,8.88943,-17.7789,8.88963,-0.0158061,-4.44471,8.88942,-8.88962,4.44501,-0.0120347,2.59645e-05,-5.19308e-05,-1.1112,-27.9185,-22.3127,14.0978,0,6.25394,10.3427,5.94741,-4.78151,0.889618,0.5687,0.00177191,-0.00077129,-0.275606,34.2381,-23.0997,15.4053,5.12419,0.0774604,3.83294,-3.84106,-2.55804,-0.00594942,0.0049686,-0.00370612,0.00185456,0.00123242,-0.00198324,0.00198228,0.200012,0.654864,1.42411,2.256,2.49185,1.80649,22.3166,4.12382,2.44628,-36.6534,243.706,500.257,0,0,-0,-6.5,-2,-0.00129084,0,0,-0,-0,-0,0,-0,0,0,0,0,0,0,-0.523603,-0.00950652,0.523594,-0.00947249,3.14159,2.22593,0.408035,3.27313,-0.00950795,-0.392699,4.1897,-0.453927,3.14251,-0.00948115,0.523599,0,0,0,0,-2.11473e-05,-0.523603,0.523595,3.14159,2.22593,3.27313,-0.392065,4.1897,3.14251,0.524518,0,-0.511599,-0.00118987,7.72049e-09,0.0953799,0.000246484,-0.000396648,0.000396457,0.000241563,0.0474074,0.0117992,1.00006,26.7894,-9.74041,0.76164,221.672,-82.5493,0.443886,-280.128,91.8479,0.463153
0.04,-6.50008,-2.00156,0.0236834,0.0482735,-2.92845e-05,0.596818,-0.523603,-0.456639,0.52278,0.0520283,3.14161,-2.21349,2.2261,-3.26767,3.27149,0.388912,-0.391879,-4.27848,4.18993,-3.15787,3.15322,-0.530995,0.524755,-5.45008,-2.00161,-7.80834,-0.405834,-7.77612,-3.66273,-4.90008,-2.00161,-7.30004,-0.6159,-7.30012,-3.38718,0.0661187,0.395698,-0.529402,0.013099,-0.00156386,-0.0282027,-2.92845e-05,-0.0353303,-0.523603,-0.25429,0.523594,-0.0473637,3.14159,0.704636,2.2261,-0.500919,3.2733,-0.0482582,-0.391891,-5.28232,4.18993,2.57358,3.14274,-0.0503635,0.524749,-0.0474269,1.00025,0.0121939,-1.25031,1.25111,-0.252317,9.12904,-18.2698,9.15327,-0.862901,-4.6835,9.373,-9.15327,4.57119,-0.235923,2.5915e-05,-5.18658e-05,-1.08308,10.1832,-25.9144,12.3229,0,14.3308,-8.64158,8.1633,-3.68934,4.44115,-0.636108,0.00288919,-0.000692272,-1.37591,-130.789,-39.8363,15.4653,41.15,111.315,12.1786,-3.86472,-20.5342,8.48528,7.37794,-0.00969889,0.00234297,0.0124152,2.8286,-2.82689,0.200032,0.529306,0.989567,1.40495,3.34802,2.60343,-2.09168,0.281637,-0.17989,5.98874,-0.756547,-0.364574,0.205683,0.228748,0.440864,-6.5,-2,-0.00156386,0,0,0,-8.67362e-18,-8.28123e-18,5.39509e-17,-3.1225e-17,-3.1225e-17,-4.16334e-17,-2.77556e-17,0,4.8247e-18,0,-0.523603,-0.0405139,0.523594,-0.00947249,3.14159,2.2261,-0.100184,3.2733,-0.00965165,-0.392699,4.18993,0.514706,3.14274,-0.0100727,0.523599,0,0,0,0.0130973,-2.92845e-05,-0.523603,0.523594,3.14159,2.2261,3.2733,-0.391891,4.18993,3.14274,0.524749,0,-4.10676,1.69703,-1.10094e-05,5.93087,0.00248305,0.565719,-0.565377,0.294555,0.0474074,0.0117992,1.00007,11.6263,1.61579,0.806549,-49.6529,19.0374,0.640011,375.828,-128.359,-1.035
0.06,-6.50009,-2.00163,0.030671,0.0607381,-3.18308e-05,0.613748,-0.523603,-0.447093,0.522304,0.0608428,3.14162,-2.22255,2.22614,-3.26833,3.27294,0.388755,-0.391839,-4.21125,4.18999,-3.1447,3.14614,-0.526515,0.524807,-5.45009,-2.00168,-7.80835,-0.405917,-7.77611,-3.66282,-4.90009,-2.00168,-7.30004,-0.615962,-7.30013,-3.38724,0.0751883,0.396453,-0.52337,0.0236897,-0.0016278,-0.0166658,-3.18308e-05,-0.0429949,-0.523603,-0.375737,0.523594,-0.0473644,3.14159,0.119722,2.22614,-0.146649,3.27334,-0.0481818,-0.391851,-1.71824,4.18999,0.789756,3.14279,-0.0493964,0.524803,-0.0474638,1.00064,0.0266063,-1.2508,1.25301,-0.543042,9.28788,-18.6086,9.33531,-1.21363,-4.84059,9.69835,-9.33532,4.6369,-0.361345,2.59534e-05,-5.20014e-05,-1.06444,2.44649,-25.4196,12.5909,0,12.5197,-1.80303,7.85696,-3.84863,3.86437,-0.130048,0.00293388,-0.000769166,-1.19722,-31.3348,-33.6972,15.4741,22.6245,22.7219,9.11046,-3.86249,-11.2887,5.46023,1.50643,-0.00820377,0.00244899,0.0071373,1.82019,-1.81904,0.200072,0.349379,0.623227,0.846505,3.82534,3.04418,-0.452566,0.250555,-0.187174,3.36158,-0.0956041,-0.140236,0.208619,0.199019,0.283666,-6.5,-2,-0.0016278,0,0,-1.73472e-18,-1.04083e-17,-1.52165e-17,3.83791e-17,-2.12504e-17,-2.1684e-17,-2.68611e-17,-1.73472e-17,-2.08167e-17,-2.27682e-18,0,-0.523603,-0.0587309,0.523594,-0.00947249,3.14159,2.22614,-0.0293299,3.27334,-0.00963635,-0.392699,4.18999,0.157948,3.1428,-0.00987928,0.523599,0,0,0,0.0236834,-3.18308e-05,-0.523603,0.523594,3.14159,2.22614,3.27334,-0.391851,4.18999,3.14279,0.524803,0,-2.25771,1.09203,-7.08421e-06,1.16159,0.00142746,0.364039,-0.363809,0.0599893,0.0474074,0.0117992,1.00008,1.61359,8.96677,0.831634,-10.1175,3.92648,0.525004,114.523,-38.5751,0.105069
0.08,-6.49983,-2.00171,0.0356531,0.0688725,-1.04888e-05,0.624325,-0.523607,-0.441124,0.522024,0.066287,3.14161,-2.22262,2.22619,-3.26716,3.27329,0.390099,-0.391792,-4.19104,4.19002,-3.1394,3.14355,-0.524934,0.524837,-5.44983,-2.00172,-7.80813,-0.406035,-7.77581,-3.66293,-4.89983,-2.00172,-7.29981,-0.616058,-7.29984,-3.38734,0.0808796,0.397922,-0.520689,0.0306724,-0.00170661,-0.00975481,-2.11556e-05,-0.0524568,-0.523618,-0.446567,0.52358,-0.0473728,3.14157,-0.0106286,2.22618,-0.0721956,3.27338,-0.0481916,-0.391814,-0.414343,4.19001,0.133517,3.14281,-0.0490335,0.524822,-0.0475025,1.00102,0.0352519,-1.25128,1.25472,-0.769094,9.38792,-18.8275,9.45263,-1.36173,-4.93897,9.90517,-9.45269,4.67236,-0.432108,2.27288e-05,-4.55843e-05,-1.05286,0.93132,-25.327,12.658,0,12.0779,-0.530548,7.79799,-3.88496,3.7131,-0.0395236,0.00306404,-0.000818312,-1.15035,-5.64571,-31.4828,15.4891,17.5266,3.84382,8.00193,-3.86447,-8.74465,4.36792,0.25214,-0.00765685,0.00250024,0.00564148,1.45607,-1.45513,0.20011,0.249107,0.406721,0.528862,4.12404,3.31642,-0.00384113,0.311447,-0.119204,1.01052,0.171199,-0.0608023,0.210215,0.191228,0.22692,-6.49978,-2,-0.00170661,0,1,-1.73472e-18,-1.04083e-17,-5.88434e-18,-1.74557e-17,-3.88144e-17,-3.88144e-17,-3.61852e-17,5.72459e-17,5.72459e-17,7.04731e-17,0,-0.523618,-0.0693552,0.52358,-0.00947415,3.14159,2.22618,-0.0144392,3.27338,-0.00963832,-0.392699,4.19001,0.0267027,3.14282,-0.0098067,0.523599,0,0,0,0.0306603,-2.11556e-05,-0.523618,0.52358,3.14157,2.22618,3.27338,-0.391814,4.19001,3.14281,0.524822,1.06668e-05,-1.7489,0.873573,-5.30528e-06,0.242682,0.0011283,0.291215,-0.291027,0.00990749,0.0474101,0.0118001,1.00008,-4.27753,13.3729,0.850434,-1.23136,0.689616,0.49534,25.7996,-8.4323,0.343455
0.1,-6.49902,-2.00179,0.0394566,0.0745955,1.39966e-05,0.631491,-0.52361,-0.43691,0.52185,0.0700129,3.14161,-2.22101,2.22623,-3.26558,3.27336,0.391684,-0.39175,-4.18622,4.19002,-3.13702,3.14289,-0.523768,0.524828,-5.44902,-2.00176,-7.80738,-0.406159,-7.77498,-3.66302,-4.89902,-2.00176,-7.29904,-0.616157,-7.29901,-3.38744,0.0849237,0.399527,-0.518961,0.0356285,-0.00178697,-0.00575531,-2.86727e-05,-0.0593699,-0.523653,-0.490377,0.523545,-0.047397,3.14154,-0.0339445,2.22619,-0.0647885,3.27339,-0.0482228,-0.391803,-0.100403,4.18997,-0.0299956,3.14278,-0.048933,0.524781,-0.0475417,1.00135,0.0402682,-1.25169,1.25605,-0.916981,9.45253,-18.9709,9.52951,-1.44227,-5.00215,10.0392,-9.52964,4.69368,-0.474963,1.28939e-05,-2.58788e-05,-1.04554,0.706576,-25.3342,12.6715,0,11.9758,-0.345832,7.80053,-3.88939,3.67195,-0.0307149,0.00319134,-0.000853005,-1.1376,-0.270691,-30.9267,15.5032,16.4421,0.343072,7.72216,-3.86759,-8.20362,4.11743,0.014009,-0.00740162,0.00247688,0.0052391,1.37257,-1.37169,0.200144,0.190172,0.286151,0.358308,4.33503,3.50219,0.0806123,0.392329,-0.0391834,0.241004,0.289855,-0.00236724,0.211179,0.189113,0.213912,-6.4991,-2,-0.00178697,0,4,0,0,-9.65194e-18,-3.7239e-17,2.50451e-17,2.50451e-17,2.80537e-17,-6.1664e-17,-6.16911e-17,-4.45065e-17,0,-0.523653,-0.0759267,0.523544,-0.00947915,3.14159,2.22619,-0.0129577,3.27339,-0.00964456,-0.392699,4.18997,-0.00599911,3.14278,-0.00978659,0.523599,0,0,0,0.0356104,-2.86727e-05,-0.523653,0.523545,3.14154,2.22619,3.27339,-0.391803,4.18997,3.14278,0.524781,4.26693e-05,-1.64072,0.823485,8.04025e-08,0.0861379,0.00104782,0.274514,-0.274339,0.000420595,0.047418,0.0118027,1.00008,-7.62188,16.0087,0.870848,0.118345,0.356434,0.490615,4.74626,-1.186,0.402357
0.12,-6.49778,-2.00187,0.0425649,0.0792641,2.47501e-05,0.637349,-0.523612,-0.433094,0.521733,0.0732247,3.14161,-2.21947,2.22628,-3.26431,3.27339,0.392802,-0.391706,-4.18435,4.19001,-3.13559,3.14275,-0.522856,0.524822,-5.44778,-2.00182,-7.80616,-0.40627,-7.77373,-3.66311,-4.89778,-2.00183,-7.29782,-0.616246,-7.29775,-3.38753,0.0886233,0.40078,-0.517662,0.0393737,-0.00186724,-0.0033278,-8.19329e-05,-0.063947,-0.523719,-0.520167,0.523479,-0.0474119,3.14147,-0.0378882,2.22617,-0.0695874,3.27337,-0.0482684,-0.391823,-0.0501652,4.1899,-0.0622253,3.14271,-0.0489263,0.524711,-0.0475844,1.00164,0.0433282,-1.25206,1.25709,-1.01235,9.49744,-19.0713,9.58356,-1.49955,-5.04579,10.1323,-9.58374,4.70825,-0.503757,1.35964e-05,-2.73059e-05,-1.04058,0.693981,-25.3587,12.6723,0,11.953,-0.344486,7.8142,-3.88704,3.65633,-0.0360192,0.00332754,-0.000886996,-1.13276,0.585067,-30.8059,15.5152,16.2708,-0.210103,7.65996,-3.87053,-8.11822,4.08695,-0.0298423,-0.00730656,0.00245987,0.00514524,1.36241,-1.36155,0.200173,0.155417,0.233428,0.292872,4.52603,3.66303,0.0771897,0.45814,0.0174143,0.0937781,0.361,0.0433512,0.211839,0.188311,0.212333,-6.49775,-2,-0.00186724,0,10,-3.46945e-18,-1.04083e-17,-1.01559e-17,1.01542e-17,1.66967e-17,1.66967e-17,6.20706e-18,-7.03647e-17,-7.01479e-17,-7.53792e-17,0,-0.523719,-0.0803958,0.523478,-0.0094821,3.14159,2.22617,-0.0139175,3.27337,-0.00965368,-0.392699,4.1899,-0.0124451,3.14271,-0.00978526,0.523599,0,0,0,0.0393499,-8.19329e-05,-0.523719,0.523479,3.14147,2.22617,3.27337,-0.391823,4.1899,3.14271,0.524711,0.000106683,-1.62364,0.81739,-1.56793e-07,0.0490195,0.00102905,0.272483,-0.27231,-0.00130597,0.047434,0.0118081,1.00009,-9.21719,17.5459,0.898106,-0.185137,0.608845,0.498945,0.811766,0.280789,0.433289
0.14,-6.49619,-2.00195,0.0452554,0.0834169,3.19143e-05,0.642637,-0.523614,-0.429502,0.521636,0.0761759,3.14161,-2.21821,2.22632,-3.26328,3.27341,0.393633,-0.391661,-4.18314,4.19001,-3.13453,3.14271,-0.522203,0.524819,-5.44619,-2.00189,-7.80459,-0.406378,-7.77213,-3.66319,-4.89619,-2.0019,-7.29624,-0.616332,-7.29615,-3.38761,0.0921198,0.40179,-0.516637,0.0424128,-0.001947,-0.00135879,-0.000149466,-0.0675087,-0.523796,-0.544641,0.523402,-0.047427,3.14139,-0.0385296,2.22614,-0.0751378,3.27334,-0.0483197,-0.391853,-0.0428824,4.18982,-0.0717539,3.14263,-0.0489385,0.524633,-0.0476267,1.00189,0.0458182,-1.25238,1.25799,-1.0892,9.5347,-19.155,9.62901,-1.54787,-5.0819,10.2096,-9.62922,4.72033,-0.527206,1.58429e-05,-3.18358e-05,-1.03654,0.71466,-25.3816,12.672,0,11.9416,-0.368317,7.8272,-3.88447,3.6459,-0.04217,0.00347214,-0.00092305,-1.12953,0.73119,-30.7638,15.5259,16.2481,-0.315162,7.63714,-3.8732,-8.10696,4.09124,-0.0428055,-0.00725347,0.00244831,0.00511058,1.36384,-1.36298,0.200198,0.134523,0.20764,0.264433,4.70578,3.81092,0.0630364,0.511946,0.0596534,0.060257,0.413945,0.0760572,0.212385,0.187776,0.21256,-6.49618,-2,-0.001947,0,17,3.46945e-18,0,-1.63367e-17,-7.24383e-18,1.88651e-17,1.88651e-17,2.65358e-17,3.38271e-17,3.38271e-17,2.72135e-17,0,-0.523796,-0.0840674,0.523401,-0.00948505,3.14159,2.22614,-0.0150275,3.27334,-0.00966394,-0.392699,4.18982,-0.0143508,3.14263,-0.00978769,0.523599,0,0,0,0.0423835,-0.000149466,-0.523796,0.523402,3.14139,2.22614,3.27334,-0.391853,4.18982,3.14263,0.524633,0.000181381,-1.62139,0.818247,-1.71927e-07,0.0320935,0.00102212,0.272769,-0.272597,-0.0018057,0.0474526,0.0118143,1.00009,-10.1771,18.6747,0.927663,-0.650863,0.893022,0.510598,-0.225986,0.743848,0.461201
0.16,-6.49431,-2.00203,0.0476974,0.087347,3.9253e-05,0.647745,-0.523616,-0.425949,0.521549,0.079037,3.14161,-2.21722,2.22637,-3.26245,3.27344,0.394216,-0.391615,-4.18225,4.19,-3.13367,3.14269,-0.521773,0.524817,-5.44431,-2.00195,-7.80272,-0.406486,-7.77023,-3.66328,-4.89431,-2.00196,-7.29436,-0.616417,-7.29425,-3.3877,0.0955861,0.402603,-0.515801,0.0450233,-0.00202657,0.00048524,-0.000227516,-0.0706614,-0.523883,-0.566796,0.523315,-0.0474481,3.14131,-0.0385457,2.2261,-0.0798339,3.2733,-0.0483758,-0.391893,-0.0414961,4.18974,-0.0771125,3.14254,-0.0489574,0.524545,-0.0476698,1.00212,0.0481555,-1.25268,1.25885,-1.15997,9.56867,-19.2317,9.671,-1.59095,-5.1148,10.2803,-9.67123,4.7313,-0.548261,1.60301e-05,-3.22302e-05,-1.03289,0.741237,-25.4009,12.6727,0,11.9286,-0.393089,7.83814,-3.88267,3.63651,-0.0473305,0.00362476,-0.000961517,-1.12663,0.779683,-30.739,15.5361,16.2517,-0.355086,7.62308,-3.87573,-8.10881,4.09997,-0.0501665,-0.00721836,0.00244085,0.00509295,1.36676,-1.3659,0.200222,0.122104,0.196504,0.255376,4.88353,3.9541,0.0492654,0.555848,0.0894641,0.0447906,0.456712,0.097666,0.212881,0.187293,0.213016,-6.49438,-2,-0.00202657,0,25,0,0,-1.58903e-18,2.52213e-17,2.9924e-17,3.01408e-17,2.91921e-17,4.81386e-17,4.81386e-17,5.95498e-17,0,-0.523883,-0.0873914,0.523314,-0.00948924,3.14159,2.2261,-0.0159668,3.2733,-0.00967516,-0.392699,4.18974,-0.0154225,3.14254,-0.00979149,0.523599,0,0,0,0.0449886,-0.000227516,-0.523883,0.523315,3.14131,2.2261,3.2733,-0.391893,4.18974,3.14254,0.524545,0.000266769,-1.62176,0.819994,-3.29099e-07,0.0197487,0.00101859,0.273352,-0.27318,-0.00208701,0.0474738,0.0118214,1.0001,-10.8102,19.6059,0.960107,-1.07228,1.13478,0.525171,-0.781383,1.01827,0.491041
0.18,-6.49217,-2.0021,0.0499988,0.0913246,4.63019e-05,0.653079,-0.523618,-0.422135,0.521466,0.0820292,3.14161,-2.21657,2.22641,-3.26185,3.27347,0.394448,-0.391568,-4.18166,4.19,-3.13303,3.14267,-0.521655,0.524815,-5.44217,-2.00202,-7.80061,-0.406595,-7.76809,-3.66336,-4.89217,-2.00203,-7.29224,-0.616501,-7.29211,-3.38778,0.0993172,0.403183,-0.515178,0.047364,-0.00210613,0.00235697,-0.000327232,-0.0736587,-0.523991,-0.588244,0.523206,-0.0474753,3.1412,-0.0384167,2.22604,-0.0835608,3.27324,-0.0484387,-0.391953,-0.0408735,4.18963,-0.0810403,3.14243,-0.0489819,0.524435,-0.0477171,1.00234,0.0505339,-1.25296,1.25969,-1.23029,9.6017,-19.3067,9.7124,-1.63161,-5.14679,10.3493,-9.71266,4.74194,-0.56849,1.5656e-05,-3.1497e-05,-1.02936,0.770204,-25.4168,12.6748,0,11.9109,-0.415528,7.84713,-3.88177,3.62693,-0.0513681,0.00378379,-0.00100203,-1.12366,0.816211,-30.7222,15.5462,16.2659,-0.383197,7.61306,-3.87826,-8.11592,4.10953,-0.0556062,-0.00718508,0.00243314,0.00507811,1.36995,-1.36909,0.200244,0.115068,0.198885,0.266721,5.07436,4.10379,0.0325006,0.587954,0.101665,0.0291094,0.488534,0.103635,0.213361,0.1868,0.213514,-6.49213,-2,-0.00210613,0,35,3.46945e-18,3.46945e-18,2.06507e-18,4.53095e-17,2.4503e-17,2.47198e-17,2.31748e-17,3.92481e-17,3.96818e-17,4.33681e-17,0,-0.523991,-0.0906097,0.523205,-0.00949469,3.14159,2.22604,-0.0167121,3.27324,-0.00968773,-0.392699,4.18963,-0.0162081,3.14243,-0.00979637,0.523599,0,0,0,0.0473239,-0.000327232,-0.523991,0.523206,3.1412,2.22604,3.27324,-0.391953,4.18963,3.14243,0.524435,0.000373534,-1.62318,0.821905,-4.96552e-07,0.00575316,0.00101562,0.273989,-0.273818,-0.00229282,0.0475004,0.0118303,1.0001,-11.1366,20.3969,0.999193,-1.50728,1.34821,0.546182,-1.2979,1.24387,0.527527
