t,x,y,theta0,phi1,theta1,phi2,theta2,phi3,theta3,phi4,theta4,phi5,theta5,phi6,theta6,phi7,theta7,phi8,theta8,phi9,theta9,phi10,theta10,x1,Y1,x2,y2,x3,y3,Trix[1],Triy[1],Trix[2],Triy[2],Trix[3],Triy[3],varphi1,varphi2,varphi3,z21,z22,z31,z32,z41,z42,z51,z52,z61,z62,z71,z72,z81,z82,z91,z92,z101,z102,z111,z112,z121,z122,al21,al22,al31,al32,al33,al41,al42,al43,al44,al51,al52,al53,al54,al55,al61,al62,al63,al66,al71,al72,al73,al76,al77,al81,al82,al83,al88,al91,al92,al93,al99,al101,al102,al103,al1010,al111,al112,aL113,al1110,al1111,al121,al122,al123,al1210,al1211,al1212,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,v1,v2,v3,PSx,PSy,d,d0d,Q,nh1,nh2,nh3,nh4,nh5,nh6,nh7,nh8,nh9,nh10,thetap1d,thetap2d,dthetap2d,thetap3d,dthetap3d,thetap4d,thetap5d,dthetap5d,thetap6d,dthetap6d,thetap7d,thetap8d,dthetap8d,thetap9d,dthetap9d,thetap10d,deltap1d,delta2d,delta3d,thetap0,thetap1,thetap2,thetap3,thetap4,thetap5,thetap6,thetap7,thetap8,thetap9,thetap10,thetaT,K81,K82,K83,K84,K91,K92,K93,K94,sr.Cs, sr.Cs1, 1 - sr.d*sr.Cs,nu1,nu2,nu3,nu4,nu5,nu6,nu7,nu8,nu9,nu10,nu11,nu12,lambda1,lambda2,lambda3,lambda4,lambda5,lambda6,lambda7,lambda8,lambda9,lambda10,lambda11,lambda12,lambda13,lambda14,lambda15,lambda16,lambda17,lambda18,Q_phiR1, Q_varphiR1, Q_phiF1, Q_varphiF1, Q_phiR2, Q_varphiR2, Q_phiF2, Q_varphiF2, Q_phiR3, Q_varphiR3, Q_phiF3, Q_varphiF3
0,-6.50064,-2.0009,0,0,-4.73232e-06,0.523599,-0.523627,-0.523639,0.523568,-1.74877e-06,-2.94546e-05,-2.22529,2.22369,-3.27088,3.27088,0.392787,-0.394309,-4.18879,4.18904,-3.14184,3.14184,-0.523438,0.523852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.392699,0,0,0,0,0.523599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.04,-6.50064,-2.0009,0.00626565,0.0215192,-4.73232e-06,0.562548,-0.523627,-0.523639,0.523568,-1.74877e-06,-2.94546e-05,-2.22652,2.22369,-3.27088,3.27088,0.392787,-0.394309,-4.19597,4.18904,-3.14184,3.14184,-0.523438,0.523852,-3.45064,-2.00095,-7.80843,-0.403958,-7.77689,-3.66166,-4.90064,-2.0009,-7.30063,-0.615253,-7.30065,-3.38653,-4.0875e-05,0.394309,-0.523852,0,-0.000897218,-0.0474133,-4.73232e-06,-0.0475767,-0.523627,-0.0475086,0.523568,-0.0474509,-2.94546e-05,-0.0678136,2.22369,-0.034925,3.27088,-0.0455849,-0.394309,-0.0436471,4.18904,-0.049305,3.14184,-0.0479386,0.523852,-0.0474094,1.00004,-0.0118066,-1.25005,1.25005,-0.0131989,8.88927,-17.7785,8.88917,-0.0107967,-4.44495,8.8899,-8.88959,4.4447,-0.0118633,-7.53042e-05,0.000150609,-1.11115,-0.269931,-25.3269,12.681,0,12.6194,0.194223,7.75209,-3.88682,3.86363,0.000852474,-0.00687383,0.00185853,-1.19644,0.0460054,-30.8001,15.4034,15.39,-0.0479973,7.69504,-3.8492,-7.69169,3.84588,-0.0135437,-0.0027637,0.000921818,0.00184095,1.28184,-1.28153,0.150006,0.156641,0.53798,0.973739,1.13654,0.440362,-0.0307349,0.61629,-0.56743,-0.179396,0.0813584,-0.434495,0,0,0,-6.5,-2,-0.000897218,0,0,-0,-0,-0,-0,-0,0,-0,0,0,0,0,-0.523568,0.00712705,0.523599,0,0,2.22369,-0.00520967,3.27249,0,-0.392699,4.18904,-0.00740213,3.14159,0,0.523599,0,0,0,0,-4.73232e-06,-0.523627,0.523568,-2.94546e-05,2.22369,3.27088,-0.394309,4.18904,3.14184,0.523852,0,-1.15475,0.577379,0,-0.130817,0,0,0,0,0.0474074,0.0117992,1.00004,0.767725,-1.5681,-5.47572,-9.92145,22.6203,8.52681,-2.02602,10.2232,-13.6612,1.4559,-0.762789,-10.6881,0.000380935,111.053,0.00564012,111.053,46.7247,-157.095,46.6469,-157.126,-46.8306,-125.518,-46.8354,-125.52,-310.888,0.00915706,225.411,-93.7939,162.249,93.7294,0.903937,-16.9189,2.398,-16.9189,-1.44825,25.9835,1.08378,25.9889,-1.13306,20.9322,-0.0808642,20.9327
0.08,-6.50092,-2.00114,0.0116638,0.0360335,-1.97904e-05,0.587584,-0.523626,-0.523655,0.52357,-1.86228e-06,-2.82335e-05,-2.22784,2.22314,-3.27033,3.27033,0.392818,-0.39486,-4.19944,4.18911,-3.14191,3.14191,-0.523375,0.523919,-3.45092,-2.00122,-7.80857,-0.403913,-7.77717,-3.66192,-4.90092,-2.00117,-7.30089,-0.615487,-7.30094,-3.38677,-5.6679e-05,0.39486,-0.523919,0.00626608,-0.00114308,-0.0283602,-1.97904e-05,-0.02738,-0.523626,-0.231115,0.52357,-0.0474699,-2.82335e-05,0.024202,2.22314,-0.0564221,3.27033,-0.0449791,-0.39486,-0.017308,4.18911,-0.0279147,3.14191,-0.0481193,0.523919,-0.0474136,1.00009,0.0120033,-1.25012,1.25065,-0.176104,9.09434,-18.1964,9.11963,-0.835638,-4.64992,9.3038,-9.12023,4.56246,-0.221265,-0.000108745,0.000217585,-1.14058,1.1167,-25.3262,12.7053,0,12.386,-0.665395,7.73963,-3.89408,3.83744,-0.024865,-0.00922147,0.0025052,-1.18817,0.755478,-30.9978,15.4131,15.9501,-0.246565,7.79157,-3.8512,-7.97067,3.92472,0.0147277,-0.00366029,0.0012115,0.00250544,1.30807,-1.30766,0.150011,0.134953,0.362857,0.625892,1.18384,0.478284,-0.0329621,0.726059,-0.658646,-0.0869539,0.00957828,-0.473142,0.153973,0.148307,0.152946,-6.5,-2,-0.00114308,0,0,4.33681e-19,4.33681e-18,4.50622e-18,1.68806e-05,1.58294e-17,1.59378e-17,2.53703e-17,-4.79217e-17,-4.80302e-17,-3.65647e-17,0,-0.52357,0.0346708,0.523599,0,0,2.22314,-0.00840037,3.27249,0,-0.392699,4.18911,-0.00419178,3.14159,0,0.523599,0,0,0,0.00626565,-1.97904e-05,-0.523626,0.52357,-2.82335e-05,2.22314,3.27033,-0.39486,4.18911,3.14191,0.523919,0,-1.19691,0.589352,0,-0.0574408,0,0,0,0,0.0474074,0.0117992,1.00005,0.761073,-1.34849,-3.68373,-6.38151,23.5885,9.35499,-0.425072,13.7396,-14.2708,0.928315,-0.779279,-10.163,0.000345975,85.6325,0.00617674,85.6325,40.6091,-141.64,40.5075,-141.68,-40.9908,-115.977,-40.9953,-115.981,-261.771,0.00739071,195.85,-81.6198,142.027,82.0599,0.991734,-12.8351,2.50065,-12.8351,-1.51287,23.4975,1.45655,23.5047,-1.07739,19.4165,-0.0826123,19.4174
0.12,-6.50108,-2.00129,0.0149023,0.0447204,-2.95833e-05,0.602696,-0.523625,-0.523664,0.523571,-1.91121e-06,-2.7049e-05,-2.22893,2.2228,-3.27,3.27,0.392838,-0.395192,-4.2016,4.18915,-3.14195,3.14195,-0.523333,0.52396,-3.45108,-2.00138,-7.80865,-0.403885,-7.77734,-3.66208,-4.90108,-2.00134,-7.30104,-0.615628,-7.30112,-3.38691,-6.60811e-05,0.395192,-0.52396,0.0116649,-0.00114308,-0.0169618,-2.95833e-05,-0.0135124,-0.523625,-0.350075,0.523571,-0.0474818,-2.7049e-05,0.0516971,2.2228,-0.0587909,3.27,-0.0446364,-0.395192,-0.0166659,4.18915,-0.013914,3.14195,-0.0482398,0.52396,-0.0474227,1.00019,0.0262427,-1.25024,1.25169,-0.260937,9.2321,-18.4857,9.28914,-1.38501,-4.78734,9.58582,-9.28985,4.63917,-0.362741,-0.000129847,0.000260001,-1.15975,1.58797,-25.321,12.73,0,12.2016,-0.918525,7.72868,-3.90243,3.79834,-0.0275947,-0.0106282,0.00290011,-1.17597,0.939815,-31.098,15.4274,16.2956,-0.240774,7.83974,-3.85453,-8.14275,3.98494,0.0339197,-0.00423326,0.00139663,0.00294778,1.32811,-1.32763,0.150018,0.0809632,0.217174,0.377801,1.19174,0.479839,-0.0271339,0.788173,-0.726972,-0.0538748,-0.0400262,-0.501697,0.156559,0.1468,0.15529,-6.5,-2,-0.00114308,0,0,0,3.46945e-18,4.83995e-18,2.00927e-05,2.08167e-17,2.09793e-17,1.82688e-17,2.90566e-17,2.92735e-17,2.48689e-17,0,-0.523571,0.0525164,0.523599,0,0,2.22281,-0.00874302,3.27249,0,-0.392699,4.18915,-0.00208968,3.14159,0,0.523599,0,0,0,0.0116638,-2.95833e-05,-0.523625,0.523571,-2.7049e-05,2.2228,3.27,-0.395192,4.18915,3.14195,0.52396,0,-1.22292,0.59848,0,-0.0358026,0,0,0,0,0.0474074,0.0117992,1.00005,0.761173,-0.806547,-2.20194,-3.85038,23.7611,9.46419,-0.0948079,15.307,-15.2164,0.607768,-1.35979,-10.414,0.000181866,18.0186,0.00387918,18.0186,24.4163,-102.103,24.3043,-102.147,-24.9615,-88.9133,-24.9588,-88.9223,-128.114,0.00346536,117.734,-49.1113,86.4922,49.9779,1.00331,-2.00179,2.51895,-2.00179,-1.61311,17.1629,1.62272,17.1708,-1.104,15.0999,-0.144153,15.1016
0.16,-6.49726,-1.99991,0.00866584,0.0420518,3.37482e-05,0.633428,-0.506679,0.747183,0.540357,0.766833,0.016839,-2.29114,2.24008,-3.28728,3.28728,-1.4216,-0.378045,-4.23509,4.19847,-3.15127,3.15127,-0.533503,0.533121,-3.44745,-1.97544,-7.80845,-0.411231,-7.77092,-3.66504,-4.89726,-1.99985,-7.29731,-0.614294,-7.29722,-3.38558,1.2707,0.378045,-0.533121,0.0147753,9.1869e-05,-0.0100887,-9.42753e-05,0.153917,-0.506807,4.94146,0.540229,0.908372,0.016711,0.274172,2.23995,-0.190841,3.28715,7.37251,-0.378173,0.136541,4.19834,-0.0802439,3.15114,-0.0469419,0.532993,-0.0474598,1.00021,0.0348568,-1.25027,1.2525,1.17697,9.30336,-18.6399,9.50671,10.6928,4.27625,-8.56867,2.87128,6.73159,5.13281,1.60291,-3.2117,-0.812664,4.31086,-24.9331,12.3673,0,12.3476,-3.21711,7.85244,-3.85694,3.96483,19.7201,-26.5311,6.77024,-47.6362,3.58985,-31.4136,15.6916,16.2339,-1.74419,7.74368,-3.8576,-7.98085,3.88847,-0.0555924,0.00263667,-0.00088867,-0.00179849,1.30361,-1.30391,0.150016,-0.155911,-0.0667155,0.768295,-8.30431,2.85189,-1.55541,-4.17394,2.32516,-0.837333,-2.6318,-0.13867,0.192456,0.15288,0.151534,-6.4973,-2,9.1869e-05,0,12,0,6.93889e-18,3.46945e-17,-0.185842,2.1684e-17,2.42861e-17,1.11022e-16,2.79182e-17,2.81893e-17,4.12403e-17,0,-0.539763,-0.700253,0.523599,0,0,2.24033,-0.0301383,3.27249,0,-0.392699,4.1985,-0.0124451,3.14159,0,0.523599,0,0,0,0.0147743,-9.42753e-05,-0.506807,0.540229,0.016711,2.23995,3.28715,-0.378173,4.19834,3.15114,0.532993,0.000128024,-1.23776,0.603066,0,-0.187379,0,0,0,0,0.0474393,0.0118098,0.999996,0.198321,1.33933,0.549165,-9.97692,24.113,560.434,24.1728,325.292,132.116,16.3389,873.251,82.4343,194.106,-134.918,233.251,23.9054,484.025,-2858.13,2249.06,1718.22,107.654,77.7393,45.243,124.827,322.64,5.43345,-174.096,69.142,-128.689,-75.9414,59.4123,22.652,2.55625,-5.03604,14.0058,564.683,34.4846,-274.965,8.73896,-13.4817,92.5744,-19.4437
0.2,-6.48702,-1.99883,-0.00203884,0.0378273,-0.000262713,0.642016,-0.497836,0.752489,0.549309,0.463968,0.0257366,-2.51412,2.29385,-3.34105,3.34105,-0.789223,-0.324121,-4.28128,4.21072,-3.16353,3.16353,-0.54853,0.545433,-3.43749,-1.96194,-7.80802,-0.437826,-7.7576,-3.66956,-4.88702,-1.99925,-7.28666,-0.612979,-7.28738,-3.38426,1.27606,0.324121,-0.545433,0.00804635,0.00116574,-0.00612945,-0.00088193,0.534101,-0.498455,5.111,0.54869,1.21588,0.0251174,0.267756,2.29324,-0.16435,3.34043,1.38174,-0.32474,-0.0689338,4.2101,0.0570235,3.16291,-0.0432793,0.544813,-0.0475652,1.00001,0.0399233,-1.25006,1.25213,4.76019,9.46248,-18.958,9.9867,14.0829,4.33608,-8.69595,3.10339,7.38802,3.53731,1.98359,-3.97612,-0.565494,3.96483,-23.2803,11.6296,0,11.3576,-3.06091,7.86355,-3.91894,3.96595,0.0889254,-4.54001,1.0358,-2.14389,0.2343,-32.806,16.0803,17.7643,0.448248,8.07792,-3.87642,-8.54468,4.08713,0.126848,0.0229703,-0.00768907,-0.0161267,1.38228,-1.38499,0.149997,-0.267617,-0.105614,0.214692,-7.82734,22.1972,-5.57447,-20.8266,10.7367,-1.1547,-5.75746,0.312629,0.210205,0.151513,0.159262,-6.48696,-2,0.00116574,0,58,1.73472e-18,1.04083e-17,2.77556e-17,-0.305104,-2.76472e-18,-4.33681e-18,4.16334e-17,7.37257e-18,7.80626e-18,-2.92735e-18,0,-0.547644,-0.703981,0.523599,0,0,2.3024,-0.0318368,3.27249,0,-0.392699,4.21092,0.00922312,3.14159,0,0.523599,0,0,0,0.00804663,-0.00088193,-0.498455,0.54869,0.0251174,2.29324,3.34043,-0.32474,4.2101,3.16291,0.544813,0.000619217,-1.38204,0.661063,0,-0.272275,0,0,0,0,0.0475616,0.0118508,0.999945,-0.1254,2.52376,0.961432,-4.94495,-187.896,462.874,46.1164,-838.426,746.492,25.3284,-205.534,-12.4052,-4.54338,-196.846,190.748,22.6627,449.022,-78.0715,-135.826,238.808,-78.9206,115.277,145.244,44.4614,386.347,9.94543,-241.241,81.0495,-157.606,-95.6413,49.0698,31.2102,-19.9191,-3.59035,79.1365,16.138,-88.8826,-40.9984,-1.31509,-17.6602,-21.7889,-6.62212
0.24,-6.47651,-1.99535,-0.031432,0.0187982,-0.000920835,0.652384,-0.509649,0.750405,0.537533,1.54993,0.0139416,-2.83015,2.32325,-3.37045,3.37045,0.515549,-0.294845,-4.31832,4.21303,-3.16583,3.16583,1.53572,0.547493,-3.42665,-1.9766,-7.80149,-0.449099,-7.74748,-3.66642,-4.87651,-1.99682,-7.27524,-0.60897,-7.27779,-3.38025,1.274,0.294845,-0.547493,-0.00315996,0.00464054,0.00100669,-0.00204264,0.497813,-0.510771,5.06113,0.536411,-20.2894,0.0128198,-1.34739,2.32213,1.02612,3.36933,-0.221719,-0.295967,-0.633929,4.21191,0.391195,3.16471,-33.1345,0.546371,-0.0476771,0.999789,0.0489704,-1.24983,1.25152,4.30499,9.52338,-19.0763,10.0304,13.9322,4.38138,-8.79619,3.08356,7.34188,1830.86,-32.2978,64.7709,-1041.42,-10.788,-21.7792,12.4633,0,7.8356,9.39922,7.38673,-4.79536,2.46006,1.87096,0.79246,-0.254806,-0.874305,-10.8134,-34.6044,16.2529,20.9403,7.66828,8.87063,-3.92426,-10.0305,4.6131,-690.53,-168.581,53.8223,130.146,-17.8104,-924.296,0.149968,-0.734829,-0.475727,0.259222,-7.70931,-0.450184,-7.90068,-51.5377,-0.598602,-0.925873,-6.29087,-0.577951,0.209313,0.0933897,0.17976,-6.47641,-1.99999,0.00464054,0,105,0,1.04083e-17,4.16334e-17,0.114053,-1.38778e-17,-1.38778e-17,-1.38778e-17,7.28584e-17,7.63278e-17,4.44089e-16,0,-0.536133,-0.726546,0.523599,0,0,2.34218,0.226208,3.27249,0,-0.392699,4.21287,0.0636874,3.14159,0,0.523599,0,0,0,-0.00316065,-0.00204264,-0.510771,0.536411,0.0128198,2.32213,3.36933,-0.295967,4.21191,3.16471,0.546371,0.0011218,-1.63299,0.751022,0,-0.556441,0,0,0,0,0.0476869,0.0118928,0.999779,0.0560817,7.49141,4.75973,-5.285,-166.256,-22.4105,74.0636,-2365.81,-3021.67,16.4995,130.812,-475.361,625.842,-3435.05,3232.72,8668.64,-270.542,339.541,-428.989,-261.906,-8393.38,-248476,-1396.87,-246567,989.217,13.7922,-630.385,191.446,-353.244,-215.359,-2.37576,438.417,-17.625,-1386.73,-320.331,-52.5871,-250.802,39.9207,-50.3936,49230,13.8676,39450.9
0.28,-6.46644,-1.99907,-0.0239509,0.000139091,0.00514351,0.734807,-0.535154,-2.11761,0.512142,1.55044,-0.0115058,-2.83404,2.32184,-3.36903,3.36903,1.5697,-0.296064,-4.3622,4.24237,-3.19517,3.19517,-0.859326,0.577514,-3.41657,-2.00752,-7.79964,-0.457138,-7.72002,-3.6892,-4.86646,-1.99084,-7.27355,-0.617564,-7.2593,-3.38881,-1.59396,0.296064,-0.577514,-0.0330355,0.000901928,0.0214243,0.00355054,0.321471,-0.536747,7.66645,0.510549,-0.339943,-0.0130988,-2.99054,2.32024,2.35837,3.36744,-197.838,-0.297657,0.0104276,4.24077,0.258551,3.19357,0.462563,0.575921,-0.0479064,1.00105,0.0747477,-1.25122,1.25023,2.23315,9.63923,-19.2569,9.98753,13.0673,9.21679,-18.3606,9.21704,14.1392,835.322,-0.495951,0.988851,-118.595,-18.839,-21.0037,13.9271,0,5.78534,10.2652,6.76714,-5.7684,0.808088,19176.2,2570.64,-1214.23,-180087,2.3208,-37.1972,17.1736,21.9064,0.451229,9.18868,-3.96839,-9.93582,4.15699,-0.58174,3.1933,-1.03415,-2.33589,1.73545,-2.35483,0.150075,0.187028,-0.466477,2.06056,-7.47785,-5.59558,-0.0972113,-143.99,-0.0798974,-1.0972,-13.0778,4.49475,-0.286305,0.030659,0.161654,-6.46654,-1.99997,0.000901928,0,149,0,1.04083e-17,2.42861e-17,0.00160464,0,-1.38778e-17,-1.77636e-15,-5.0307e-17,-5.20417e-17,-4.16334e-17,0,-0.510247,-1.20381,0.523599,0,0,2.33942,0.515224,3.27249,0,-0.392699,4.24595,0.0469419,3.14159,0,0.523599,0,0,0,-0.033025,0.00355054,-0.536747,0.510549,-0.0130988,2.32024,3.36744,-0.297657,4.24077,3.19357,0.575921,0.00159297,-1.80392,0.754732,0,0.667576,0,0,0,0,0.0478044,0.0119322,0.999957,0.0903817,-1.08026,5.11298,-35.8151,798.943,18081.2,32.2182,2715.88,-5.3078,42.31,3262.61,2221.67,506.605,-24949.1,-12406.1,23037,-26250.3,-4.0111e+07,3.04467e+07,-2.60726e+07,212.197,72.7742,1242.98,-529.237,-125.237,1.44102,90.6537,-27.6519,43.6975,28.4742,1916.81,5003.89,84.6969,-3652.25,-0.562686,6.41827e+06,287.914,4.17162e+06,235.522,-1.75635,345.873,86.5017
0.32,-6.46135,-2.00253,0.003761,-0.0127146,0.00974588,0.80027,-0.536167,-2.09293,0.511011,-1.51222,-0.0125779,-2.61689,2.30955,-3.35675,3.35675,-1.58099,-0.308423,-4.34777,4.25898,-3.21178,3.21178,-1.56072,0.59385,-3.41154,-2.00518,-7.79887,-0.457809,-7.70363,-3.70368,-4.86143,-1.98694,-7.27482,-0.624755,-7.24781,-3.3959,-1.56934,0.308423,-0.59385,-0.0257993,-0.00256894,-0.00555998,0.00790637,1.55378,-0.538006,9.27139,0.509172,2.67576,-0.0144175,-3.44942,2.30771,2.52666,3.35491,-15.1295,-0.310263,-1.21928,4.25714,0.687349,3.20994,119.755,0.592011,-0.0479364,1.00079,0.0410293,-1.25095,1.24986,15.5504,10.2138,-20.3791,11.703,41.003,10.4875,-20.8039,11.762,19.3982,-312.111,3.96323,-7.87441,1.18365,-22.6159,-21.0749,14.0733,0,5.74062,9.91813,6.57389,-5.69443,0.574083,984.996,278.524,-134.244,-1484.24,-27.1615,-40.26,17.9122,26.978,17.0785,10.0212,-4.07275,-11.8464,5.09057,-9313.58,678.827,-215.01,-552.562,74.2303,-11977.1,0.150068,0.692797,-0.321343,1.63658,-6.68414,-246.033,5.4287,-160.025,-1.273,0.360935,-12.9358,-0.00601638,-0.377045,0.0218579,0.197906,-6.46138,-1.99996,-0.00256894,0,172,2.1684e-19,-6.93889e-18,1.99493e-17,-0.0430496,-3.46945e-17,-5.55112e-17,1.11022e-16,-3.81639e-17,-3.1225e-17,8.88178e-16,0,-0.508802,-1.46297,0.523599,0,0,2.32168,0.521019,3.27249,0,-0.392699,4.26643,0.133376,3.14159,0,0.523599,0,0,0,-0.0257904,0.00790637,-0.538006,0.509172,-0.0144175,2.30771,3.35491,-0.310263,4.25714,3.20994,0.592011,0.00183951,-2.29874,0.987798,0,2.1559,0,0,0,0,0.047866,0.0119528,1.00012,0.667621,-6.82732,3.49044,-28.9818,-101.934,189395,-89.8417,1954.43,440.561,8.24335,-2184.72,2.02503,452.873,-1306.97,374.09,1486.78,-272.943,3402.42,-336.781,2575.22,3263.54,-355737,-70442,-341708,-750.216,9.43668,565.05,-180.019,251.936,170.093,20078,208.25,-10.8062,-239.988,46.7045,-658.751,207.191,-411.842,0.214675,57049.6,-231.604,54674.2
0.36,-6.45883,-2.0072,0.0515665,-0.00510313,0.0126723,0.869925,-0.537335,1.04766,0.509799,1.13766,-0.0137684,-2.39695,2.29456,-3.34176,3.34176,0.262043,-0.323455,-4.37109,4.29531,-3.24811,3.24811,0.457959,0.629888,-3.40909,-2.00689,-7.7978,-0.456982,-7.68572,-3.72676,-4.85896,-1.98692,-7.27633,-0.631806,-7.24121,-3.40287,1.57123,0.323455,-0.629888,0.00180414,-0.00723844,-0.0526517,0.0107148,2.86706,-0.539293,10.5786,0.507841,3.35172,-0.0157259,-2.94941,2.2926,1.88262,3.3398,-0.0237288,-0.325412,-1.33402,4.29335,0.447107,3.24615,-1.45822,0.627931,-0.0479122,1.00035,-0.0179101,-1.25054,1.25059,31.1804,10.7433,-21.4259,13.6689,70.9621,11.0423,-21.8587,13.6893,23.5502,63.5438,4.33948,-8.60682,0.00827029,-24.6602,-21.9048,13.4714,0,6.79354,13.5384,6.8573,-5.08748,1.34433,0.180391,-0.204789,0.0822766,-0.386543,-27.6439,-40.6792,19.1171,24.783,15.2376,8.91327,-4.0009,-10.0967,4.97621,-5.07194,-8.41381,2.94573,6.15238,0.890322,-1.43469,0.150052,1.19514,0.190288,1.74138,-6.22841,1273.57,5.49843,-49.4997,24.6309,-0.583017,-19.4348,-6.94412,0.458572,0.0513494,0.19285,-6.45892,-1.99996,-0.00723844,0,183,8.47033e-21,1.38778e-17,-1.47451e-17,-0.385298,-6.93889e-18,-1.38778e-17,-1.25767e-17,4.16334e-17,4.16334e-17,4.16334e-17,0,-0.507399,-1.67718,0.523599,0,0,2.30159,0.363728,3.27249,0,-0.392699,4.31724,0.102383,3.14159,0,0.523599,0,0,0,0.00180351,0.0107148,-0.539293,0.507841,-0.0157259,2.2926,3.3398,-0.325412,4.29335,3.24615,0.627931,0.00195748,-2.31204,1.1395,0,2.82297,0,0,0,0,0.0478955,0.0119627,1.00035,0.503782,-11.9476,-1.35562,-32.2013,-1214.85,-2.34508e+08,-97.3608,-4043.88,-255.414,45.6379,-196.077,-1917.37,-1197.21,722.695,-823.802,1119.74,81.6609,-510.063,255.736,-448.545,59.7736,-342.338,331.582,-150.38,-1398.15,19.2515,1004.57,-336.759,443.94,323.607,-2.48605e+07,-147.133,-128.788,-153.882,-27.0768,81.4604,-428.696,71.9336,-203.262,58.2102,-20.7864,25.4493
