t,x,y,theta0,phi1,theta1,phi2,theta2,phi3,theta3,phi4,theta4,phi5,theta5,phi6,theta6,phi7,theta7,phi8,theta8,phi9,theta9,phi10,theta10,x1,Y1,x2,y2,x3,y3,Trix[1],Triy[1],Trix[2],Triy[2],Trix[3],Triy[3],varphi1,varphi2,varphi3,z21,z22,z31,z32,z41,z42,z51,z52,z61,z62,z71,z72,z81,z82,z91,z92,z101,z102,z111,z112,z121,z122,al21,al22,al31,al32,al33,al41,al42,al43,al44,al51,al52,al53,al54,al55,al61,al62,al63,al66,al71,al72,al73,al76,al77,al81,al82,al83,al88,al91,al92,al93,al99,al101,al102,al103,al1010,al111,al112,aL113,al1110,al1111,al121,al122,al123,al1210,al1211,al1212,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,v1,v2,v3,PSx,PSy,d,d0d,Q,nh1,nh2,nh3,nh4,nh5,nh6,nh7,nh8,nh9,nh10,thetap1d,thetap2d,dthetap2d,thetap3d,dthetap3d,thetap4d,thetap5d,dthetap5d,thetap6d,dthetap6d,thetap7d,thetap8d,dthetap8d,thetap9d,dthetap9d,thetap10d,deltap1d,delta2d,delta3d,thetap0,thetap1,thetap2,thetap3,thetap4,thetap5,thetap6,thetap7,thetap8,thetap9,thetap10,thetaT,K81,K82,K83,K84,K91,K92,K93,K94,sr.Cs, sr.Cs1, 1 - sr.d*sr.Cs,nu1,nu2,nu3,nu4,nu5,nu6,nu7,nu8,nu9,nu10,nu11,nu12,lambda1,lambda2,lambda3,lambda4,lambda5,lambda6,lambda7,lambda8,lambda9,lambda10,lambda11,lambda12,lambda13,lambda14,lambda15,lambda16,lambda17,lambda18,Q_phiR1, Q_varphiR1, Q_phiF1, Q_varphiF1, Q_phiR2, Q_varphiR2, Q_phiF2, Q_varphiF2, Q_phiR3, Q_varphiR3, Q_phiF3, Q_varphiF3
0,-6.50061,-2.00087,0,0,-3.11002e-06,0.523599,-0.523627,-0.523637,0.523568,-1.74877e-06,-2.96674e-05,-2.61799,2.22374,-3.27094,3.27094,0.392787,-0.394254,-3.66519,4.18903,-3.14183,3.14183,-0.523438,0.523846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.392699,0,0,0,0,0.523599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.04,-6.50061,-2.00087,0.00610013,0.0213444,-3.11002e-06,0.562366,-0.523627,-0.478358,0.523568,0.0174279,4.74317e-05,-2.15293,2.22374,-3.05713,3.28341,0.413879,-0.394139,-4.40818,4.18903,20.1141,3.12081,72.7827,0.522314,-3.45061,-2.00092,-7.80841,-0.403963,-7.77686,-3.66163,-4.90061,-2.00088,-7.30061,-0.615229,-7.30061,-3.38651,0.0451623,0.620417,22.7126,0,-0.000872388,-0.0474113,-3.11002e-06,-0.0476074,-0.523627,-0.0474863,0.523568,-0.0474491,-2.96674e-05,-3.46198,2.22374,2.0445,3.27094,-0.0470099,-0.394254,4.39904,4.18903,-2.26971,3.14183,-0.0474072,0.523846,-0.0474094,1.00004,-0.011804,-1.25005,1.25005,-0.0135082,8.88926,-17.7785,8.88914,-0.0104062,-4.44493,8.88987,-8.88954,4.44466,-0.0118404,-7.22879e-05,0.000144576,-1.11114,-28.0364,-22.3287,14.1214,0,6.23594,10.2169,5.91645,-4.76986,0.874474,0.538884,-0.00542326,0.00236739,-0.2708,34.2134,-23.0961,15.3988,5.13006,0.0119653,3.84485,-3.847,-2.56395,-0.00159471,-0.004575,-0.00181256,0.00090647,0.000603803,-0.000531522,0.000531397,0.150006,0.152503,0.533609,0.969182,1.13198,0.43574,11.6265,5.3453,0.527309,-18.5746,581.398,1832.65,0,0,-0,-6.5,-2,-0.000872388,0,0,-0,-0,-0,-0,-0,0,-0,0,0,0,0,-0.523568,0.0071237,0.523599,0,0,2.22375,0.305032,3.27249,0,-0.392699,4.18903,-0.340742,3.14159,0,0.523599,0,0,0,0,-3.11002e-06,-0.523627,0.523568,-2.96674e-05,2.22374,3.27094,-0.394254,4.18903,3.14183,0.523846,0,-0.384916,-0.000239408,0,0.18215,0,0,0,0,0.0474074,0.0117992,1.00004,0.76774,-1.52672,-5.432,-9.87574,22.5318,8.43853,-394.951,-1042.85,-766.105,772.029,2.95222e+07,9.32399e+07,0.000366232,105.672,0.00538045,105.672,45.4484,-129.114,45.4247,-129.123,-45.5441,-87.6644,-45.5603,-87.6559,-300.261,0.00890796,219.246,-91.2143,157.789,91.1515,0.894578,-16.0553,2.38863,-16.0578,-81.2157,21.2756,-110.553,20.7859,9.88447e+06,14.4445,3.12968e+06,13.9417
0.08,-6.5009,-2.00113,0.0114541,0.0358122,-1.87031e-05,0.587353,-0.523626,-0.47642,0.522484,0.0190099,4.8587e-05,-2.21138,2.22317,-3.24122,3.26661,0.373646,-0.394656,-4.28279,4.1891,-3.16756,3.15862,-0.541019,0.523986,-3.4509,-2.0012,-7.80856,-0.403916,-7.77715,-3.6619,-4.9009,-2.00116,-7.30087,-0.615471,-7.30092,-3.38675,0.0460153,0.420044,-0.532926,0.00610053,-0.00112653,-0.0283705,-1.87031e-05,-0.0273877,-0.523626,-0.230294,0.523569,-0.0474687,-2.83676e-05,1.03686,2.22317,-0.675709,3.27037,-0.044469,-0.394823,-5.55113,4.1891,2.73811,3.1419,-0.0489754,0.523915,-0.0474134,1.00009,0.0119905,-1.25011,1.25064,-0.175967,9.09333,-18.1943,9.1185,-0.832022,-4.64892,9.30174,-9.11909,4.56197,-0.220308,-0.000106657,0.000213405,-1.14046,14.9637,-26.2333,12.2705,0,15.2373,-12.9654,8.29575,-3.62833,4.72913,-0.929153,-0.0095509,0.00222198,-1.46428,-141.72,-40.5008,15.42,43.3291,121.397,12.5407,-3.85477,-21.6529,8.71709,8.06761,-0.00511037,0.00120256,0.00674982,2.90532,-2.90442,0.150011,0.13385,0.361697,0.624672,1.18083,0.475294,-1.46118,0.728806,-0.479282,3.13458,-0.641372,-0.4411,0.153957,0.182768,0.339705,-6.5,-2,-0.00112653,0,0,8.67362e-19,-8.67362e-19,-2.71559e-18,1.65571e-05,8.67362e-18,1.04083e-17,1.28478e-17,-3.46945e-17,-4.16334e-17,-3.03035e-17,0,-0.523569,0.0345476,0.523599,0,0,2.22318,-0.100615,3.27249,0,-0.392699,4.1891,0.41116,3.14159,0,0.523599,0,0,0,0.00610013,-1.87031e-05,-0.523626,0.523569,-2.83676e-05,2.22317,3.27037,-0.394823,4.1891,3.1419,0.523915,0,-3.25144,1.30898,0,3.36237,0,0,0,0,0.0474074,0.0117992,1.00005,0.761065,-1.33751,-3.6721,-6.36903,23.5296,9.29687,24.5925,-0.406131,-27.2895,-18.3847,16.3521,7.22358,0.000341749,84.683,0.00608857,84.683,40.2463,-146.53,40.1361,-146.573,-40.6152,-147.205,-40.613,-147.217,-258.779,0.00734094,194.131,-80.8952,140.753,81.323,0.985573,-12.704,2.49441,-12.6832,-2.89299,24.2939,-0.0430545,24.4938,0.76578,24.5071,1.7335,25.5411
0.12,-6.50106,-2.00128,0.0146662,0.0444715,-2.84946e-05,0.602435,-0.523625,-0.476113,0.521781,0.0190733,4.96715e-05,-2.22665,2.22284,-3.23958,3.26921,0.365186,-0.394975,-4.21889,4.18914,-3.14925,3.14693,-0.539528,0.524014,-3.45106,-2.00136,-7.80864,-0.403888,-7.77732,-3.66206,-4.90106,-2.00132,-7.30103,-0.615612,-7.3011,-3.38689,0.0456182,0.424607,-0.52633,0.0114552,-0.00112653,-0.0169753,-2.84946e-05,-0.0135262,-0.523625,-0.349029,0.523571,-0.0474806,-2.71787e-05,0.259996,2.22284,-0.18547,3.27004,-0.0445419,-0.395155,-1.61152,4.18914,0.783791,3.14194,-0.0485014,0.523955,-0.0474222,1.00018,0.026226,-1.25023,1.25167,-0.260781,9.23076,-18.4828,9.28756,-1.38038,-4.78602,9.58307,-9.28825,4.63855,-0.361483,-0.000127732,0.000255762,-1.1596,4.18065,-25.5071,12.6399,0,12.7474,-3.07688,7.84337,-3.84778,3.98172,-0.183197,-0.0106022,0.00280382,-1.23276,-29.5978,-33.8165,15.4294,22.6147,21.464,9.19832,-3.85565,-11.3005,5.36605,1.47181,-0.00461197,0.00136358,0.003993,1.78842,-1.78779,0.150018,0.0803016,0.216481,0.377062,1.18875,0.476879,-0.381881,0.761455,-0.691166,1.59765,-0.182583,-0.404616,0.156538,0.153887,0.209111,-6.5,-2,-0.00112653,0,0,-8.67362e-19,0,1.20279e-19,1.97665e-05,-9.54098e-18,-9.54098e-18,-7.58942e-19,6.59195e-17,6.93889e-17,7.23163e-17,0,-0.523571,0.0523595,0.523599,0,0,2.22285,-0.0275854,3.27249,0,-0.392699,4.18914,0.117712,3.14159,0,0.523599,0,0,0,0.0114541,-2.84946e-05,-0.523625,0.523571,-2.71787e-05,2.22284,3.27004,-0.395155,4.18914,3.14194,0.523955,0,-1.69714,0.80589,0,0.517076,0,0,0,0,0.0474074,0.0117992,1.00005,0.761166,-0.800004,-2.19504,-3.84287,23.702,9.40605,7.23956,14.1013,-16.1624,-26.9787,1.15871,-8.02467,0.000178636,18.0002,0.00380671,18.0002,24.1959,-102.466,24.0797,-102.512,-24.7308,-98.1721,-24.7199,-98.187,-126.252,0.00343135,116.673,-48.6634,85.6907,49.5143,0.997147,-2.03368,2.51268,-1.99898,-1.71339,17.2129,1.49489,17.2716,-0.850705,16.6279,0.122836,16.9073
0.16,-6.49508,-2.00146,0.0189042,0.0503542,0.000467528,0.610045,-0.522763,-0.4564,0.523156,0.034281,0.00104302,-2.22528,2.22256,-3.23027,3.26958,0.364727,-0.395219,-4.20222,4.18944,-3.14308,3.14336,-0.542943,0.524398,-3.44507,-1.99954,-7.80329,-0.40434,-7.77055,-3.66282,-4.89508,-2.00071,-7.29573,-0.616192,-7.29443,-3.38747,0.0657137,0.434526,-0.524122,0.0144334,-0.00145914,-0.00958659,0.000232783,-0.00490699,-0.522997,-0.252527,0.524144,-0.00604649,0.000573225,0.101214,2.22232,-0.0776263,3.26952,-0.0435281,-0.395655,-0.297417,4.18921,0.137453,3.14201,-0.0365231,0.524058,-0.0474887,1.00028,0.0355124,-1.25033,1.25257,-0.320891,9.31599,-18.6651,9.39867,-0.94698,-4.57601,9.16819,-9.00847,4.49859,-0.292119,0.0724023,-0.145043,-1.14696,2.27381,-25.3524,12.7488,0,12.1554,-1.38709,7.73874,-3.90525,3.80052,-0.0501654,-0.0151257,0.00413277,-1.17583,-3.73585,-31.6532,15.433,17.5693,2.82947,8.11166,-3.85396,-8.7747,4.26776,0.245623,0.0531946,-0.0171425,-0.0390132,1.42948,-1.43592,0.150026,0.10595,0.147069,0.190235,0.761723,0.841868,0.0344883,0.987192,-0.683727,0.416772,-0.0208444,-0.274898,0.154935,0.146888,0.16631,-6.49505,-2,-0.00145914,0,22,0,-8.67362e-18,-1.64799e-17,-0.0111826,8.0231e-18,7.58942e-18,1.07336e-17,1.9082e-17,1.82146e-17,7.15573e-18,0,-0.524143,0.0378077,0.523599,0,0,2.22234,-0.011525,3.27249,0,-0.392699,4.18921,0.020648,3.14159,0,0.523599,0,0,0,0.0144314,0.000232783,-0.522997,0.524144,0.000573225,2.22232,3.26952,-0.395655,4.18921,3.14201,0.524058,0.000234746,-1.31812,0.641096,0,0.10919,0,0,0,0,0.0474658,0.0118187,1.00007,-0.000361811,-1.34922,-1.61979,-1.82858,17.101,17.643,-1.03149,22.0774,-13.9624,-6.16851,-0.0177775,-7.1237,0.0254337,180.367,-6.51428,180.249,43.1109,-103.388,43.9063,-103.052,-45.3311,-70.7984,-44.3453,-71.4012,-361.975,-0.292465,208.196,-86.9019,153.718,88.8914,1.87035,-28.8571,1.81289,-28.818,-1.48017,16.5284,2.34045,16.4691,-0.755192,11.3075,-0.00188461,11.2301
0.2,-6.48399,-2.0016,0.0226142,0.0575137,0.000528024,0.6207,-0.522381,-0.450039,0.523344,0.038679,0.00143476,-2.22472,2.22276,-3.22684,3.26976,0.361105,-0.394996,-4.19945,4.1895,-3.13794,3.14262,-0.545129,0.524453,-3.43399,-1.99902,-7.79232,-0.404619,-7.75937,-3.66302,-4.88399,-2.00075,-7.28472,-0.616379,-7.28326,-3.38766,0.07187,0.437913,-0.519773,0.0181494,-0.00160281,-0.00757008,-0.000230134,-0.00135533,-0.523139,-0.287855,0.524016,-0.00682945,0.000438333,0.0885114,2.222,-0.0798585,3.2692,-0.0389275,-0.39599,-0.0529823,4.18874,0.00545396,3.14154,-0.0372009,0.523576,-0.0476309,1.00041,0.0381518,-1.25052,1.25327,-0.327994,9.36033,-18.7619,9.45687,-1.11455,-4.6178,9.25604,-9.06416,4.52072,-0.332829,0.071322,-0.142977,-1.15261,2.15116,-25.3684,12.7456,0,12.1231,-1.30763,7.75124,-3.90284,3.77925,-0.0559898,-0.0335193,0.00913313,-1.16522,0.480314,-31.1763,15.4412,16.6504,0.103595,7.87142,-3.8556,-8.31503,4.06741,0.0458307,0.05196,-0.0170956,-0.0368534,1.36238,-1.36851,0.150036,0.0927505,0.178988,0.266367,0.920702,0.933036,0.0138065,1.07776,-0.667739,0.069038,0.109042,-0.329139,0.155696,0.14606,0.158501,-6.48404,-1.99999,-0.00160281,0,71,0,-6.93889e-18,-1.73472e-17,-0.0110063,-3.38813e-17,-3.38271e-17,-2.81893e-17,-3.03577e-17,-2.94903e-17,-1.6263e-17,0,-0.524015,0.0431159,0.523599,0,0,2.22202,-0.0118431,3.27249,0,-0.392699,4.18874,0.00081795,3.14159,0,0.523599,0,0,0,0.018146,-0.000230134,-0.523139,0.524016,0.000438333,2.222,3.2692,-0.39599,4.18874,3.14154,0.523576,0.000758158,-1.24703,0.610003,0,0.0083278,0,0,0,0,0.0475962,0.0118624,1.00008,-0.0224906,-1.32116,-2.09276,-2.78558,20.3772,19.3956,-1.35198,23.3788,-13.6477,-1.70625,2.10017,-8.46093,-0.297545,178.129,-6.14461,178.024,41.6728,-99.6207,43.3909,-98.8851,-43.9833,-73.529,-43.3372,-73.9113,-355.405,-0.425239,203.206,-84.7742,149.921,86.7041,2.05615,-28.5223,2.16021,-28.4787,-1.44681,15.8912,2.47841,15.7815,-0.896953,11.7578,0.222641,11.791
0.24,-6.47327,-2.00165,0.0254879,0.064497,0.000650188,0.631908,-0.522042,-0.439533,0.523687,0.0510164,0.00174925,-2.22588,2.22304,-3.22568,3.27001,0.358457,-0.394711,-4.20008,4.18968,-3.13605,3.14266,-0.547678,0.524637,-3.42327,-1.99835,-7.78183,-0.404912,-7.74843,-3.66325,-4.87327,-2.00061,-7.27417,-0.616532,-7.27236,-3.38781,0.0824055,0.43904,-0.518019,0.0213475,-0.00166913,-0.00320921,-0.000621463,0.000644022,-0.523314,-0.295274,0.523889,-0.0193439,0.00028773,0.0971718,2.22176,-0.0858226,3.26896,-0.039387,-0.396226,-0.0072911,4.18841,-0.0180546,3.14121,-0.0376069,0.523234,-0.0477711,1.00054,0.0437228,-1.25071,1.25423,-0.394793,9.42287,-18.8992,9.53923,-1.12026,-4.60586,9.2381,-9.04874,4.50669,-0.32891,0.0497565,-0.0998302,-1.1545,2.30957,-25.3747,12.7489,0,12.0645,-1.40896,7.75917,-3.90409,3.76301,-0.0621179,-0.03239,0.00881573,-1.16029,1.30473,-31.1055,15.4547,16.5848,-0.386874,7.83078,-3.85774,-8.27957,4.05164,0.0125142,0.0506091,-0.0167203,-0.0358655,1.3571,-1.36306,0.150046,0.0718437,0.174581,0.280203,0.959904,0.747712,-0.0289601,1.11394,-0.733321,-0.0157219,0.161012,-0.392923,0.155941,0.145427,0.157887,-6.47327,-1.99998,-0.00166913,0,119,0,-6.93889e-18,-3.46945e-18,-0.00766048,1.98409e-17,1.97325e-17,2.36356e-17,3.07913e-17,3.05745e-17,4.14165e-17,0,-0.523889,0.0442466,0.523599,0,0,2.22179,-0.0127174,3.27249,0,-0.392699,4.18841,-0.00270463,3.14159,0,0.523599,0,0,0,0.0213425,-0.000621463,-0.523314,0.523889,0.00028773,2.22176,3.26896,-0.396226,4.18841,3.14121,0.523234,0.00127165,-1.24031,0.60695,0,-0.0252808,0,0,0,0,0.0477243,0.0119053,1.00008,0.0286574,-1.16259,-2.19973,-3.17128,20.8857,14.782,-0.85269,23.7955,-15.5349,-0.635063,2.78083,-9.89392,-3.26877,150.262,-6.64541,150.151,36.4414,-89.4123,38.9082,-88.3668,-38.3844,-68.2312,-37.8518,-68.5272,-305.794,-0.476849,177.699,-74.0753,130.934,75.7532,1.56706,-24.0061,2.21412,-23.9606,-1.64687,14.3084,2.52259,14.1481,-1.04887,10.978,0.294799,11.0197
0.28,-6.46278,-2.00169,0.0277877,0.0712187,0.000776289,0.643147,-0.521626,-0.432554,0.523902,0.0550969,0.00218927,-2.22796,2.22328,-3.22479,3.27026,0.353309,-0.394433,-4.2017,4.18985,-3.13475,3.14282,-0.550538,0.524811,-3.41278,-1.99759,-7.77156,-0.405178,-7.73772,-3.66347,-4.86278,-2.00045,-7.26385,-0.616673,-7.2617,-3.38795,0.0891582,0.439901,-0.516744,0.0237192,-0.00172521,0.00199033,-0.000998889,0.00420043,-0.523401,-0.329591,0.523802,-0.0150168,0.000200483,0.103932,2.22151,-0.0847661,3.26871,-0.0349913,-0.396483,0.00520069,4.18807,-0.0191931,3.14087,-0.0379151,0.522892,-0.0479072,1.00065,0.0503439,-1.25089,1.25529,-0.463754,9.48935,-19.0463,9.63062,-1.25145,-4.63875,9.31107,-9.09618,4.52031,-0.375086,0.0576752,-0.115827,-1.16001,2.45123,-25.3622,12.7632,0,11.9619,-1.4691,7.75497,-3.91135,3.73982,-0.0631835,-0.0502287,0.0137026,-1.14927,1.59332,-31.1277,15.4688,16.6969,-0.51555,7.83739,-3.86018,-8.33319,4.06909,0.0109783,0.049525,-0.0163646,-0.0353045,1.36294,-1.3688,0.150055,0.0574941,0.168043,0.280985,1.04144,0.849664,-0.0519006,1.14224,-0.756529,-0.040323,0.197382,-0.464539,0.156714,0.144528,0.158568,-6.46273,-1.99997,-0.00172521,0,166,0,-6.93889e-18,-5.20417e-18,-0.00886248,-4.77049e-18,-4.77049e-18,5.20417e-18,5.63785e-18,6.28837e-18,1.60462e-17,0,-0.523802,0.0494038,0.523599,0,0,2.22153,-0.0125497,3.27249,0,-0.392699,4.18807,-0.0028718,3.14159,0,0.523599,0,0,0,0.0237128,-0.000998889,-0.523401,0.523802,0.000200483,2.22151,3.26871,-0.396483,4.18807,3.14087,0.522892,0.00177518,-1.24687,0.608844,0,-0.0411794,0,0,0,0,0.0478499,0.0119474,1.00008,0.0280258,-1.07622,-2.3001,-3.44582,22.4206,16.9198,-0.63654,23.8506,-16.1351,-0.409984,3.19349,-11.6106,-3.02326,138.23,-6.60002,138.105,33.1789,-82.4635,35.9433,-81.2966,-35.3607,-63.2348,-34.8763,-63.5018,-281.693,-0.556531,163.85,-68.2546,120.621,69.8128,1.79369,-22.081,2.37683,-22.0338,-1.7105,13.1935,2.52844,13.0141,-1.23086,10.1807,0.338546,10.2184
0.32,-6.45235,-2.00169,0.0294829,0.0773776,0.000917832,0.653774,-0.521221,-0.416372,0.52455,0.0679932,0.00263323,-2.23064,2.22348,-3.22388,3.27048,0.348062,-0.394212,-4.2039,4.18999,-3.13391,3.14299,-0.553772,0.524975,-3.40236,-1.99676,-7.76137,-0.405387,-7.72705,-3.66365,-4.85235,-2.00022,-7.25362,-0.616783,-7.25108,-3.38806,0.105545,0.440818,-0.515891,0.0255267,-0.00174281,0.00760825,-0.00135086,0.00742066,-0.523489,-0.290253,0.523724,-0.00836585,0.000117523,0.110889,2.22121,-0.0802886,3.26841,-0.0322913,-0.396781,0.0149116,4.18772,-0.0154607,3.14053,-0.0381952,0.522549,-0.0480392,1.00074,0.0574897,-1.25104,1.25642,-0.545047,9.55689,-19.1973,9.72606,-1.05093,-4.54273,9.12577,-8.97475,4.46045,-0.337141,0.0697226,-0.140161,-1.15575,2.59775,-25.3405,12.7846,0,11.8387,-1.51739,7.74406,-3.92206,3.71408,-0.0589475,-0.0616042,0.016879,-1.13891,1.84466,-31.176,15.483,16.853,-0.604565,7.85765,-3.86273,-8.40894,4.09115,0.0162005,0.0485755,-0.0160345,-0.0348831,1.37033,-1.37609,0.150061,0.0423796,0.153971,0.265663,0.944057,0.818393,-0.0671243,1.16999,-0.818929,-0.0550759,0.222221,-0.545485,0.156203,0.143531,0.159429,-6.45243,-1.99995,-0.00174281,0,212,0,1.04083e-17,0,-0.0106869,2.35272e-17,2.40693e-17,2.38524e-17,-3.46945e-17,-3.46945e-17,-4.68375e-17,0,-0.523724,0.043519,0.523599,0,0,2.22124,-0.0118747,3.27249,0,-0.392699,4.18773,-0.00231056,3.14159,0,0.523599,0,0,0,0.025519,-0.00135086,-0.523489,0.523724,0.000117523,2.22121,3.26841,-0.396781,4.18772,3.14053,0.522549,0.00226869,-1.2567,0.611413,0,-0.0526513,0,0,0,0,0.0479732,0.0119887,1.00008,0.0214777,-0.97316,-2.32469,-3.56052,20.039,16.1956,-0.502644,24.0507,-17.5147,-0.295786,3.37034,-13.5415,-4.52385,124.782,-8.52134,124.573,29.6841,-74.0134,32.3596,-72.8834,-31.8195,-56.8345,-31.3907,-57.071,-254.002,-0.606105,147.599,-61.4512,108.53,62.8364,1.71692,-19.9363,2.12436,-19.8788,-1.85675,11.8341,2.54964,11.6618,-1.43555,9.14982,0.357293,9.18148
0.36,-6.44168,-2.00168,0.0308129,0.0830581,0.00110419,0.663907,-0.520797,-0.41232,0.524692,0.0703924,0.00306065,-2.23389,2.22376,-3.22395,3.2708,0.341555,-0.393894,-4.20631,4.19014,-3.13303,3.14318,-0.557266,0.525133,-3.39169,-1.99584,-7.75102,-0.405668,-7.71609,-3.66385,-4.84168,-1.99991,-7.24321,-0.616921,-7.24015,-3.3882,0.109311,0.440738,-0.514984,0.0267071,-0.00175872,0.0133328,-0.00168021,0.00923244,-0.523581,-0.33741,0.523629,-0.00823172,2.36981e-05,0.120837,2.22098,-0.0749456,3.26817,-0.0265249,-0.397016,0.025123,4.18736,-0.00933374,3.14016,-0.0384766,0.522177,-0.0481743,1.0008,0.0647771,-1.25116,1.25756,-0.643265,9.62155,-19.3434,9.81937,-1.21648,-4.60164,9.25214,-9.06035,4.48782,-0.394317,0.0703467,-0.14156,-1.16287,2.77812,-25.3106,12.8084,0,11.7089,-1.58374,7.72986,-3.93481,3.69007,-0.0552409,-0.0851665,0.0234593,-1.12661,2.10941,-31.2391,15.496,17.0298,-0.689946,7.88575,-3.86499,-8.49496,4.11337,0.0247736,0.0476825,-0.015711,-0.034512,1.37777,-1.38344,0.150066,0.0332513,0.142013,0.253326,1.04413,0.877595,-0.0810917,1.1751,-0.841744,-0.0603408,0.247904,-0.632969,0.157167,0.1426,0.160298,-6.44169,-1.99992,-0.00175872,0,260,0,-3.46945e-18,-1.04083e-17,-0.010758,1.4962e-17,1.45283e-17,2.1684e-17,-4.90059e-17,-4.96565e-17,-6.20164e-17,0,-0.523629,0.0506063,0.523599,0,0,2.22101,-0.0110755,3.27249,0,-0.392699,4.18736,-0.00139314,3.14159,0,0.523599,0,0,0,0.0266985,-0.00168021,-0.523581,0.523629,2.36981e-05,2.22098,3.26817,-0.397016,4.18736,3.14016,0.522177,0.00278441,-1.26794,0.613954,0,-0.0582275,0,0,0,0,0.0481022,0.0120319,1.00008,0.0281153,-0.904984,-2.34283,-3.6791,22.0816,17.3392,-0.246355,24.0107,-17.838,-0.256497,3.6191,-15.5229,-4.20107,114.744,-7.78911,114.556,27.1483,-69.1067,30.028,-67.905,-29.5001,-53.242,-29.1085,-53.4551,-234.704,-0.659077,136.889,-56.9471,100.609,58.2695,1.83815,-18.3226,2.3409,-18.2688,-1.89103,11.0563,2.54541,10.871,-1.6456,8.58224,0.383665,8.60889
