t,x,y,theta0,phi1,theta1,phi2,theta2,phi3,theta3,phi4,theta4,phi5,theta5,phi6,theta6,phi7,theta7,phi8,theta8,phi9,theta9,phi10,theta10,x1,Y1,x2,y2,x3,y3,Trix[1],Triy[1],Trix[2],Triy[2],Trix[3],Triy[3],varphi1,varphi2,varphi3,z21,z22,z31,z32,z41,z42,z51,z52,z61,z62,z71,z72,z81,z82,z91,z92,z101,z102,z111,z112,z121,z122,al21,al22,al31,al32,al33,al41,al42,al43,al44,al51,al52,al53,al54,al55,al61,al62,al63,al66,al71,al72,al73,al76,al77,al81,al82,al83,al88,al91,al92,al93,al99,al101,al102,al103,al1010,al111,al112,aL113,al1110,al1111,al121,al122,al123,al1210,al1211,al1212,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,v1,v2,v3,PSx,PSy,d,d0d,Q,nh1,nh2,nh3,nh4,nh5,nh6,nh7,nh8,nh9,nh10,thetap1d,thetap2d,dthetap2d,thetap3d,dthetap3d,thetap4d,thetap5d,dthetap5d,thetap6d,dthetap6d,thetap7d,thetap8d,dthetap8d,thetap9d,dthetap9d,thetap10d,deltap1d,delta2d,delta3d,thetap0,thetap1,thetap2,thetap3,thetap4,thetap5,thetap6,thetap7,thetap8,thetap9,thetap10,thetaT,K81,K82,K83,K84,K91,K92,K93,K94,sr.Cs, sr.Cs1, 1 - sr.d*sr.Cs,nu1,nu2,nu3,nu4,nu5,nu6,nu7,nu8,nu9,nu10,nu11,nu12,lambda1,lambda2,lambda3,lambda4,lambda5,lambda6,lambda7,lambda8,lambda9,lambda10,lambda11,lambda12,lambda13,lambda14,lambda15,lambda16,lambda17,lambda18,Q_phiR1, Q_varphiR1, Q_phiF1, Q_varphiF1, Q_phiR2, Q_varphiR2, Q_phiF2, Q_varphiF2, Q_phiR3, Q_varphiR3, Q_phiF3, Q_varphiF3
0,-6.50058,-2.00085,0,0,-2.40875e-07,0.523599,-0.523629,-0.523638,0.523569,-1.72305e-06,3.14156,-2.61799,2.2238,-3.271,3.271,0.392782,-0.394195,-3.66519,4.18903,-3.14183,3.14183,-0.523448,0.523839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.14159,0,0,0,0,-0.392699,0,0,0,0,0.523599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.04,-6.50058,-2.00085,0.00591834,0.0211461,-2.40875e-07,0.563276,-0.523629,-0.471924,0.523569,0.0238458,3.14164,-2.15349,2.2238,-3.06096,3.28346,0.413758,-0.394081,-4.40835,4.18903,20.7685,3.12604,74.5557,0.523839,-5.45058,-2.00083,-7.8084,-0.403968,-7.77683,-3.6616,-4.90058,-2.00085,-7.30058,-0.615204,-7.30058,-3.38649,0.051598,0.616584,23.3707,0,-0.000845117,-0.0474077,-2.40875e-07,-0.0476678,-0.523629,-0.0474498,0.523569,-0.0474476,3.14156,-3.46144,2.2238,2.04437,3.271,-0.0470245,-0.394195,4.39902,4.18903,-2.26972,3.14183,-0.0474072,0.523839,-0.0474093,1.00004,-0.0117996,-1.25005,1.25005,-0.0141082,8.88925,-17.7785,8.88909,-0.00967574,-4.44492,8.88984,-8.88949,4.4446,-0.0118016,-2.31847e-05,4.63694e-05,-1.11111,-28.0325,-22.3283,14.1208,0,6.23641,10.2203,5.91728,-4.77017,0.874901,0.53972,-0.0052218,0.00227928,-0.270936,34.2136,-23.096,15.3987,5.13012,0.0113988,3.84497,-3.84706,-2.56401,-0.00156599,-0.00485821,-0.00173397,0.000867161,0.000577637,-0.000521951,0.000521833,0.150006,0.147959,0.528653,0.991935,1.29283,0.596188,11.6126,5.25091,0.524388,-18.579,597.758,1876.98,0,0,-0,-6.5,-2,-0.000845117,0,0,-0,-0,-0,0,-0,0,-0,0,0,0,0,-0.523629,-0.00711514,0.523599,0,3.14159,2.2238,0.305074,3.27249,0,-0.392699,4.18903,-0.340735,3.14159,0,0.523599,0,0,0,0,-2.40875e-07,-0.523629,0.523569,3.14156,2.2238,3.271,-0.394195,4.18903,3.14183,0.523839,0,-0.384916,-0.00023509,0,0.182368,0,0,0,0,0.0474074,0.0117992,1.00004,1.52182,-1.48062,-5.37293,-10.9865,34.6944,20.5776,-394.349,-1037.4,-766.156,770.761,3.08858e+07,9.71666e+07,-0.00288177,102.038,0.00348484,102.038,42.9509,-145.735,42.9134,-145.749,-43.0481,-97.5304,-43.065,-97.5228,-204.168,0.00627328,207.21,-86.1924,149.14,86.1539,2.18145,-14.6367,3.678,-14.6385,-81.2211,24.5878,-109.976,23.6602,1.03007e+07,16.5347,3.27424e+06,15.5521
0.08,-6.50084,-2.00108,0.0110303,0.0353674,-1.67018e-05,0.586115,-0.523626,-0.458472,0.522436,0.0355962,3.14165,-2.21215,2.22328,-3.24262,3.26673,0.373528,-0.394554,-4.2831,4.18909,-3.16767,3.15862,-0.541207,0.523974,-5.45084,-2.00109,-7.80853,-0.403924,-7.7771,-3.66185,-4.90084,-2.00111,-7.30082,-0.615425,-7.30087,-3.38671,0.063911,0.41867,-0.533023,0.00591871,-0.00107931,-0.0283887,-1.67018e-05,-0.0171615,-0.523626,-0.239566,0.523572,-0.0474624,3.14156,1.03217,2.22328,-0.67229,3.27048,-0.0446205,-0.394716,-5.55473,4.18909,2.74061,3.14189,-0.0489079,0.523902,-0.0474131,1.00009,0.0119679,-1.25011,1.25062,-0.0825563,9.09819,-18.2039,9.1301,-0.96803,-4.65378,9.3114,-9.13066,4.57322,-0.22076,-3.24042e-05,6.48369e-05,-1.08779,14.888,-26.2228,12.2714,0,15.2173,-12.8941,8.2917,-3.63,4.72508,-0.923546,-0.00906074,0.00210962,-1.46306,-141.888,-40.5129,15.4191,43.365,121.547,12.5472,-3.85456,-21.6713,8.7201,8.07829,-0.0048904,0.00115025,0.00646227,2.90634,-2.90548,0.15001,0.127799,0.355533,0.570964,1.6295,0.889952,-1.46655,0.696509,-0.482118,3.13117,-0.644466,-0.445541,0.154337,0.182609,0.339823,-6.5,-2,-0.00107931,0,0,0,6.93889e-18,7.50471e-18,-2.46444e-17,-2.60209e-17,-3.1225e-17,-2.68882e-17,4.85723e-17,5.55112e-17,3.74863e-17,0,-0.523626,-0.028725,0.523599,0,3.14159,2.22329,-0.100143,3.27249,0,-0.392699,4.18909,0.411517,3.14159,0,0.523599,0,0,0,0.00591834,-1.67018e-05,-0.523626,0.523572,3.14156,2.22328,3.27048,-0.394716,4.18909,3.14189,0.523902,0,-3.25406,1.30937,0,3.35896,0,0,0,0,0.0474074,0.0117992,1.00005,1.53573,-1.27635,-3.61465,-5.63745,37.9731,23.0806,24.6549,-1.43794,-27.5791,-18.5694,16.3365,7.118,-0.00444914,81.2141,0.00329543,81.2141,37.5842,-190.183,37.3787,-190.264,-38.1512,-220.4,-38.1216,-220.438,-159.973,0.00446807,181.32,-75.534,132.224,76.3931,2.4468,-11.2885,4.02557,-11.2415,-2.92369,32.1417,-0.152437,32.5382,0.754587,37.1889,1.73185,39.2515
0.12,-6.50099,-2.00121,0.0149523,0.0447254,-2.5129e-05,0.600197,-0.523625,-0.450231,0.521848,0.0428586,3.14165,-2.22685,2.22299,-3.241,3.26938,0.365931,-0.394829,-4.21863,4.18912,-3.14881,3.14692,-0.539276,0.523996,-5.45099,-2.00123,-7.8086,-0.403901,-7.77724,-3.66199,-4.90099,-2.00125,-7.30095,-0.615547,-7.30102,-3.38683,0.0715614,0.423216,-0.525884,0.0110314,-0.0012076,-0.0169978,-2.5129e-05,-0.0207704,-0.523625,-0.339719,0.523573,-0.0474703,3.14157,0.257266,2.22299,-0.182264,3.27019,-0.044726,-0.395002,-1.61142,4.18912,0.785328,3.14193,-0.0484494,0.523937,-0.0474215,1.00018,0.0261985,-1.25022,1.25164,-0.327236,9.22384,-18.4685,9.27487,-1.27069,-4.77909,9.56898,-9.27552,4.62901,-0.325314,-3.7572e-05,7.52321e-05,-1.07282,4.14297,-25.4946,12.6404,0,12.7309,-3.04015,7.83903,-3.84983,3.97933,-0.179089,-0.00991935,0.00262554,-1.23206,-29.6163,-33.8275,15.4282,22.6301,21.4814,9.20445,-3.85545,-11.3085,5.36586,1.47466,-0.00439471,0.00129863,0.0038059,1.78837,-1.78777,0.150018,0.0980498,0.23395,0.352045,1.83573,1.07151,-0.367523,0.729854,-0.672418,1.61187,-0.172122,-0.398046,0.156216,0.153791,0.209103,-6.5,-2,-0.0012076,0,0,1.73472e-18,1.04083e-17,8.74646e-18,8.59738e-18,-9.1073e-18,-9.54098e-18,-6.77626e-18,-1.04083e-17,-1.38778e-17,-3.07371e-17,0,-0.523625,-0.0399902,0.523599,0,3.14159,2.223,-0.0271229,3.27249,0,-0.392699,4.18912,0.117935,3.14159,0,0.523599,0,0,0,0.0110303,-2.5129e-05,-0.523625,0.523573,3.14157,2.22299,3.27019,-0.395002,4.18912,3.14193,0.523937,0,-1.69824,0.805809,0,0.532121,0,0,0,0,0.0474074,0.0117992,1.00006,1.536,-0.975823,-2.37131,-3.36007,39.9725,24.6487,7.16892,13.626,-15.566,-27.1152,1.59601,-7.70387,-0.00545194,47.3093,0.00209219,47.3093,29.1302,-159.177,28.9156,-159.262,-30.0815,-163.534,-30.0524,-163.568,-91.1179,0.00245041,140.478,-58.5674,104.23,60.2243,2.61304,-5.86161,4.23754,-5.7946,-1.65017,27.1192,1.44451,27.2346,-0.816696,28.0221,0.169195,28.5794
0.16,-6.49729,-2.00127,0.0177655,0.0499298,0.00023932,0.608698,-0.523094,-0.430482,0.523907,0.0535826,3.14242,-2.22772,2.2227,-3.23496,3.26973,0.363698,-0.395106,-4.20341,4.18924,-3.14358,3.14317,-0.543906,0.524124,-5.44729,-2.00118,-7.8052,-0.404024,-7.77316,-3.6623,-4.89729,-2.00089,-7.29762,-0.61582,-7.29696,-3.3871,0.0925939,0.429881,-0.524541,0.0148262,-0.00126894,-0.00988538,0.000111296,-0.026803,-0.523222,-0.0803775,0.523976,0.00868375,3.14199,0.0934624,2.22257,-0.0750264,3.26977,-0.0444876,-0.395423,-0.304775,4.18912,0.139157,3.14192,-0.0410926,0.523904,-0.0474628,1.00028,0.0351141,-1.25034,1.25258,-0.519471,9.30342,-18.6401,9.36911,-0.00784275,-4.29818,8.61172,-8.62859,4.32069,-0.114908,0.0445149,-0.0891764,-1.11112,2.17628,-25.3422,12.7419,0,12.1476,-1.31745,7.73706,-3.90405,3.7957,-0.0464447,-0.0113443,0.00309627,-1.17507,-3.86243,-31.6464,15.4339,17.5668,2.90356,8.11225,-3.85556,-8.7765,4.27238,0.250836,0.0308101,-0.00993307,-0.0225997,1.42815,-1.43185,0.150026,0.0703294,0.130109,0.212548,0.549274,0.821761,-0.0216159,0.873501,-0.727199,0.380585,-0.0384096,-0.385761,0.151431,0.146699,0.166491,-6.4973,-2,-0.00126894,0,12,8.67362e-19,-1.73472e-18,6.93889e-18,1.86483e-17,1.13841e-17,1.10589e-17,1.19804e-17,2.25514e-17,2.25514e-17,1.43115e-17,0,-0.523222,-0.0111269,0.523599,0,3.14159,2.22259,-0.0111486,3.27249,0,-0.392699,4.18912,0.0208971,3.14159,0,0.523599,0,0,0,0.0148243,0.000111296,-0.523222,0.523976,3.14199,2.22257,3.26977,-0.395423,4.18912,3.14192,0.523904,0.000128024,-1.31796,0.641579,0,0.0772603,0,0,0,0,0.0474393,0.0118098,1.00006,0.611303,-0.880662,-1.39841,-2.12097,14.7457,20.1316,-0.0427842,18.5416,-15.1716,-6.79475,-0.595148,-9.23904,0.0439528,86.0049,-6.08816,85.7698,27.61,-100.119,28.1327,-99.9835,-28.9406,-84.3893,-28.5601,-84.5116,-171.045,-0.0895503,133.146,-55.5562,99.0131,57.2224,2.13417,-13.079,1.56321,-13.0221,-1.60836,16.6542,1.96562,16.6442,-0.979441,14.2123,-0.0630924,14.1518
0.2,-6.49023,-2.0013,0.0198175,0.0539955,0.000446683,0.614205,-0.522533,-0.428513,0.52422,0.0587754,3.14295,-2.22678,2.22251,-3.2288,3.26959,0.358593,-0.395238,-4.20129,4.1893,-3.14031,3.14244,-0.545465,0.524203,-5.44023,-2.00117,-7.7984,-0.404127,-7.76579,-3.66254,-4.89023,-2.00059,-7.29085,-0.616018,-7.28961,-3.3873,0.0943456,0.436028,-0.522065,0.0173093,-0.00130367,-0.00670563,-1.22862e-05,-0.0166053,-0.522992,-0.121829,0.524205,0.00770523,3.1422,0.0784438,2.22205,-0.0666949,3.26925,-0.0358049,-0.395946,-0.0483211,4.18884,0.0100711,3.14164,-0.0413312,0.523644,-0.0475528,1.00036,0.0391634,-1.25045,1.2532,-0.486801,9.35224,-18.7456,9.43736,-0.245055,-4.34291,8.70491,-8.69147,4.34962,-0.160824,0.044005,-0.0882046,-1.10822,2.03526,-25.3435,12.7615,0,12.0577,-1.18109,7.7316,-3.91065,3.76503,-0.0430827,-0.0454073,0.0124367,-1.15849,0.567104,-31.2049,15.4371,16.6952,0.0813579,7.89095,-3.85589,-8.3403,4.06761,0.0577057,0.0309789,-0.0101744,-0.0220042,1.35984,-1.36346,0.150032,0.0513021,0.101643,0.137653,0.598557,0.934279,0.0235387,1.02262,-0.670536,0.052807,0.0448222,-0.420252,0.152447,0.145519,0.158513,-6.49033,-2,-0.00130367,0,43,8.67362e-19,8.67362e-18,-3.46945e-18,1.34441e-17,1.45283e-17,1.4203e-17,9.32414e-18,2.42861e-17,2.42861e-17,9.86624e-18,0,-0.522992,-0.016178,0.523599,0,3.14159,2.22207,-0.00989264,3.27249,0,-0.392699,4.18884,0.00151091,3.14159,0,0.523599,0,0,0,0.0173065,-1.22862e-05,-0.522992,0.524205,3.1422,2.22205,3.26925,-0.395946,4.18884,3.14164,0.523644,0.000458969,-1.25125,0.610242,0,0.00377359,0,0,0,0,0.0475217,0.0118374,1.00006,0.365834,-0.78608,-1.23324,-1.10257,16.1517,22.8002,-1.28206,21.403,-14.0208,-1.3504,0.68556,-10.0971,-0.839093,86.6596,-6.1549,86.4388,24.4473,-80.3372,25.593,-79.9985,-26.0322,-66.8854,-25.7967,-66.9568,-172.785,-0.183973,120.073,-50.1283,89.279,51.6053,2.41708,-13.4567,1.71227,-13.4103,-1.48636,13.2292,2.26896,13.1935,-1.0704,11.138,0.072677,11.1317
0.24,-6.48314,-2.00132,0.0213432,0.0576509,0.00060514,0.619979,-0.522239,-0.423476,0.52439,0.0695903,3.14316,-2.2264,2.2224,-3.22422,3.26944,0.356329,-0.39533,-4.20149,4.18941,-3.13872,3.14245,-0.546765,0.524339,-5.43314,-2.0011,-7.7915,-0.404218,-7.75844,-3.66275,-4.88314,-2.00035,-7.28398,-0.616164,-7.2823,-3.38745,0.099348,0.440548,-0.520615,0.0190201,-0.00132726,-0.00406268,-0.000195781,-0.021958,-0.52304,-0.142964,0.524158,-0.0130935,3.14215,0.0903954,2.2216,-0.0735816,3.26879,-0.0358111,-0.396397,-0.0102485,4.18861,-0.00861659,3.14141,-0.0416221,0.523431,-0.047644,1.00042,0.0425459,-1.25054,1.25373,-0.589765,9.38434,-18.8166,9.47535,-0.264212,-4.3718,8.76594,-8.72591,4.35837,-0.159679,0.0276158,-0.055386,-1.10649,2.21272,-25.3616,12.7678,0,12.0404,-1.30555,7.73871,-3.9106,3.76084,-0.050598,-0.0458195,0.0125445,-1.15719,1.24111,-31.1466,15.4423,16.6237,-0.321205,7.85932,-3.85643,-8.30297,4.04911,0.0316323,0.0300097,-0.00988362,-0.0212789,1.35365,-1.35715,0.150037,0.0381412,0.0913842,0.144369,0.723144,0.738367,0.00949703,1.13433,-0.727907,-0.00498788,0.0872394,-0.452807,0.152759,0.145361,0.157793,-6.48314,-1.99999,-0.00132726,0,75,0,-1.04083e-17,-8.67362e-18,1.04083e-17,1.9082e-17,1.9082e-17,1.12757e-17,-3.79471e-17,-3.81639e-17,-3.68629e-17,0,-0.52304,-0.0187477,0.523599,0,3.14159,2.22162,-0.0108971,3.27249,0,-0.392699,4.18861,-0.00129167,3.14159,0,0.523599,0,0,0,0.0190166,-0.000195781,-0.52304,0.524158,3.14215,2.2216,3.26879,-0.396397,4.18861,3.14141,0.523431,0.00080092,-1.24466,0.606984,0,-0.0151098,0,0,0,0,0.0476069,0.011866,1.00006,0.484047,-0.654851,-1.17678,-1.38938,18.5647,18.0935,-1.1183,23.509,-15.1374,-0.462172,1.37732,-10.6779,-1.72918,63.8564,-4.48964,63.7165,20.4124,-76.8963,22.2028,-76.4349,-21.8878,-67.5777,-21.6952,-67.6005,-126.969,-0.172472,100.242,-41.862,75.114,43.4305,1.91812,-9.67628,1.96807,-9.63807,-1.60473,12.8017,2.49222,12.7502,-1.13197,11.3912,0.146011,11.3885
0.28,-6.47666,-2.00135,0.0225966,0.0610138,0.000749111,0.625514,-0.521976,-0.41858,0.524526,0.0733598,3.14343,-2.22645,2.22232,-3.22062,3.26933,0.351109,-0.39535,-4.20216,4.18953,-3.13776,3.14255,-0.548185,0.524463,-5.42666,-2.00104,-7.7852,-0.404322,-7.75172,-3.66295,-4.87666,-2.00015,-7.27769,-0.616305,-7.27562,-3.38759,0.104111,0.444068,-0.519671,0.0202362,-0.0013593,-0.00128424,-0.000361993,-0.0219882,-0.523087,-0.164345,0.524111,-0.0123447,3.1421,0.103975,2.22121,-0.0790121,3.26841,-0.0274809,-0.396779,-0.00062953,4.18842,-0.0106578,3.14122,-0.0418518,0.523238,-0.047726,1.00047,0.0460916,-1.25062,1.25424,-0.64563,9.41811,-18.891,9.51957,-0.329636,-4.3963,8.81823,-8.75817,4.36883,-0.184585,0.0284581,-0.0571073,-1.10427,2.40906,-25.3719,12.7757,0,12.0142,-1.43609,7.74211,-3.91211,3.75709,-0.0618701,-0.0786122,0.0215318,-1.14932,1.44454,-31.1531,15.4479,16.6748,-0.420099,7.8599,-3.85703,-8.32674,4.05594,0.0290314,0.0292028,-0.00961872,-0.0207658,1.35594,-1.35935,0.15004,0.0313349,0.0840726,0.138364,0.824773,0.832034,-0.00124052,1.22266,-0.677615,-0.0167022,0.114234,-0.488373,0.153188,0.145218,0.158061,-6.47663,-1.99999,-0.0013593,0,104,1.73472e-18,-1.73472e-18,5.20417e-18,-1.82146e-17,-3.03577e-17,-3.01408e-17,-2.94903e-17,-3.27429e-17,-3.27429e-17,-3.49113e-17,0,-0.523087,-0.0213572,0.523599,0,3.14159,2.22124,-0.011686,3.27249,0,-0.392699,4.18842,-0.00159661,3.14159,0,0.523599,0,0,0,0.0202321,-0.000361993,-0.523087,0.524111,3.1421,2.22121,3.26841,-0.396779,4.18842,3.14122,0.523238,0.0011111,-1.2474,0.607607,0,-0.0211133,0,0,0,0,0.0476842,0.0118919,1.00006,0.582418,-0.578821,-1.134,-1.43694,20.5007,19.9396,-0.909425,25.2297,-13.804,-0.274668,1.83817,-11.3271,-0.928467,49.4652,-3.54287,49.3356,17.7947,-76.6957,20.0265,-76.2359,-19.6007,-69.7915,-19.4146,-69.7915,-98.0419,-0.159008,88.9972,-37.1738,67.2663,38.9036,2.11382,-7.26382,2.1733,-7.22506,-1.46338,12.8711,2.67463,12.8226,-1.2008,11.8627,0.194867,11.856
0.32,-6.47083,-2.00137,0.0236338,0.0639324,0.000900805,0.630597,-0.521754,-0.412222,0.524838,0.0804304,3.14363,-2.22661,2.22226,-3.21741,3.26925,0.349063,-0.3954,-4.20286,4.18963,-3.13693,3.14267,-0.549436,0.524575,-5.42083,-2.00094,-7.77957,-0.40443,-7.74566,-3.66314,-4.87083,-1.99992,-7.27208,-0.616446,-7.26958,-3.38773,0.110577,0.447245,-0.518841,0.0212117,-0.00138533,0.00148714,-0.000488628,-0.0218391,-0.523143,-0.149238,0.524054,-0.0170755,3.14205,0.1158,2.22087,-0.0823407,3.26807,-0.0275313,-0.397121,0.00498498,4.18824,-0.00969091,3.14105,-0.0420543,0.523066,-0.0477994,1.00052,0.0496219,-1.25068,1.25473,-0.699932,9.45072,-18.9631,9.56297,-0.241817,-4.35705,8.74261,-8.70666,4.3448,-0.162465,0.0254819,-0.0511601,-1.10781,2.5826,-25.3772,12.7857,0,11.9792,-1.54456,7.74261,-3.915,3.75175,-0.0648639,-0.0788305,0.021618,-1.14769,1.58187,-31.1719,15.4528,16.7468,-0.474037,7.8671,-3.85753,-8.36116,4.06617,0.0305991,0.028486,-0.00937758,-0.0203285,1.35935,-1.36269,0.150044,0.0259294,0.0729641,0.127077,0.759287,0.676726,-0.00405488,1.30131,-0.729327,-0.0174939,0.137639,-0.519695,0.153003,0.145013,0.15846,-6.4708,-1.99998,-0.00138533,0,130,0,3.46945e-18,1.21431e-17,-3.81639e-17,1.24683e-17,1.23599e-17,1.47451e-17,-4.59702e-17,-4.6187e-17,-2.38524e-17,0,-0.523143,-0.0196244,0.523599,0,3.14159,2.22091,-0.012164,3.27249,0,-0.392699,4.18825,-0.00145089,3.14159,0,0.523599,0,0,0,0.0212071,-0.000488628,-0.523143,0.524054,3.14205,2.22087,3.26807,-0.397121,4.18824,3.14105,0.523066,0.00138943,-1.25181,0.608775,0,-0.0222374,0,0,0,0,0.0477537,0.0119151,1.00007,0.683056,-0.50887,-1.03621,-1.45387,18.459,16.0642,-0.779445,26.7607,-14.7678,-0.223175,2.29266,-11.8392,-0.814348,35.788,-2.85206,35.6666,15.7515,-77.0491,18.4025,-76.5873,-17.5436,-72.4874,-17.3599,-72.4663,-70.6982,-0.130344,78.7763,-32.9104,60.2046,34.8279,1.70299,-4.96303,1.95686,-4.92569,-1.56556,13.0316,2.83694,12.9861,-1.25508,12.4137,0.243048,12.4021
0.36,-6.4655,-2.00139,0.0246087,0.0665966,0.00104239,0.635091,-0.521541,-0.408263,0.524933,0.0833515,3.14385,-2.22671,2.22221,-3.21442,3.26918,0.343981,-0.395401,-4.20345,4.18973,-3.13612,3.14277,-0.550552,0.524677,-5.4155,-2.00086,-7.77443,-0.404545,-7.74011,-3.66333,-4.8655,-1.99973,-7.26695,-0.616588,-7.26406,-3.38787,0.114413,0.450168,-0.518022,0.0219922,-0.00142276,0.0039655,-0.00060416,-0.019468,-0.523187,-0.169173,0.52401,-0.016425,3.142,0.126101,2.22056,-0.0848155,3.26776,-0.0186364,-0.397432,0.00963952,4.18809,-0.00832232,3.14089,-0.0422415,0.522905,-0.047867,1.00055,0.0527817,-1.25074,1.25519,-0.727509,9.48085,-19.0297,9.60507,-0.324594,-4.37884,8.78923,-8.73772,4.35601,-0.185635,0.0262165,-0.0526591,-1.10619,2.73359,-25.3806,12.7955,0,11.9458,-1.63708,7.7423,-3.91803,3.74669,-0.0721617,-0.113942,0.0312884,-1.13911,1.6992,-31.1915,15.4572,16.8152,-0.517477,7.87486,-3.85797,-8.39385,4.07564,0.0327194,0.0278279,-0.00915547,-0.0199243,1.36252,-1.36578,0.150046,0.0243724,0.0666051,0.112339,0.840409,0.748994,-0.00265335,1.37471,-0.661119,-0.0147824,0.160458,-0.547691,0.15345,0.144819,0.158829,-6.46542,-1.99997,-0.00142276,0,154,-1.73472e-18,-6.93889e-18,0,-2.77556e-17,1.07336e-17,1.06252e-17,5.63785e-18,-5.29091e-17,-5.33427e-17,-5.30175e-17,0,-0.523187,-0.0220785,0.523599,0,3.14159,2.2206,-0.0125162,3.27249,0,-0.392699,4.18809,-0.00124531,3.14159,0,0.523599,0,0,0,0.0219872,-0.00060416,-0.523187,0.52401,3.142,2.22056,3.26776,-0.397432,4.18809,3.14089,0.522905,0.00164655,-1.25601,0.609859,0,-0.0213405,0,0,0,0,0.0478178,0.0119366,1.00007,0.773593,-0.475053,-0.97379,-1.32308,19.8978,17.4126,-0.70775,28.2009,-13.106,-0.213503,2.77186,-12.2638,-0.186019,27.507,-2.21323,27.3885,14.5246,-79.6707,17.535,-79.292,-16.6762,-76.6341,-16.4825,-76.6004,-54.0143,-0.1111,74.1213,-30.9705,57.2258,33.1121,1.84594,-3.53683,2.10939,-3.49819,-1.38938,13.5437,2.98961,13.5151,-1.3001,13.1857,0.293848,13.1703
