t,x,y,theta0,phi1,theta1,phi2,theta2,phi3,theta3,phi4,theta4,phi5,theta5,phi6,theta6,phi7,theta7,phi8,theta8,phi9,theta9,phi10,theta10,x1,Y1,x2,y2,x3,y3,Trix[1],Triy[1],Trix[2],Triy[2],Trix[3],Triy[3],varphi1,varphi2,varphi3,z21,z22,z31,z32,z41,z42,z51,z52,z61,z62,z71,z72,z81,z82,z91,z92,z101,z102,z111,z112,z121,z122,al21,al22,al31,al32,al33,al41,al42,al43,al44,al51,al52,al53,al54,al55,al61,al62,al63,al66,al71,al72,al73,al76,al77,al81,al82,al83,al88,al91,al92,al93,al99,al101,al102,al103,al1010,al111,al112,aL113,al1110,al1111,al121,al122,al123,al1210,,al1211,al1212u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,v1,v2,v3,PSx,PSy,d,d0d,Q,nh1,nh2,nh3,nh4,nh5,nh6,nh7,nh8,nh9,nh10,thetap1d,thetap2d,dthetap2d,thetap3d,dthetap3d,thetap4d,thetap5d,dthetap5d,thetap6d,dthetap6d,thetap7d,thetap8d,dthetap8d,thetap9d,dthetap9d,thetap10d,deltap1d,delta2d,delta3d,thetap0,thetap1,thetap2,thetap3,thetap4,thetap5,thetap6,thetap7,thetap8,thetap9,thetap10,thetaT,K81,K82,K83,K84,K91,K92,K93,K94,sr.Cs, sr.Cs1, 1 - sr.d*sr.Cs,b4,b5,b6,b7,b8,b9,b10,b11,b12
0,-6.50013,-3.00662,0,0,5.15128e-05,0.523599,-0.522678,-0.52172,0.52452,-0.000815367,3.14251,-2.61799,2.2263,-3.27349,3.27349,0.392057,-0.3917,-3.66519,4.18924,-3.14205,3.14205,-0.523303,0.524074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.14159,0,0,0,0,-0.392699,0,0,0,0,0.523599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.02,-6.50013,-3.00662,104.853,104.812,5.15128e-05,105.279,-0.522678,104.244,0.524209,104.914,3.1473,135.604,2.2263,453.009,3.25794,456.796,-0.390936,153.109,4.18924,-119606,3.15799,-119696,0.524069,-5.45013,-3.00705,-7.80854,-1.41106,-7.77623,-4.66754,-4.90013,-3.00654,-7.3002,-1.62102,-7.30006,-4.39231,104.763,456.658,-119604,0,-6.00662,0.071148,5.15128e-05,0.0752762,-0.522678,0.0738136,0.52452,0.0728287,3.14251,-1.87243,2.2263,1.2663,3.27349,0.0710546,-0.3917,2.61963,4.18924,-1.20203,3.14205,0.0711116,0.524074,0.0407369,0.572862,0.0177183,-0.716078,0.716078,0.0377594,5.09211,-10.1842,5.09451,0.00309098,-2.53778,5.07556,-5.08347,2.54415,0.0180106,0.00099835,-0.00199652,-0.637503,-8.76788,-12.7802,8.0738,0,3.58402,3.19984,3.40978,-2.74008,0.511271,0.208216,0.000753953,-0.000328064,-0.158345,10.7815,-13.2306,8.82184,2.93761,0.269552,2.20038,-2.2027,-1.46765,-0.00193335,0.0222697,-0.00196295,0.000981816,0.000653572,-0.000644342,0.000644055,0.114572,5242.63,5240.61,5237.79,5238.3,5245.77,6911.11,22814.1,22820.2,7838.69,-5.98015e+06,-5.98479e+06,0,0,-0,-6.5,3,-6.00662,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0.522678,0.0146285,0.52452,0.0145655,3.14159,2.2263,0.253261,3.27349,0.0142109,-0.392699,4.18924,-0.240388,3.14207,0.0142223,0.523599,0,0,0,0,5.15128e-05,-0.522678,0.52452,3.14251,2.2263,3.27349,-0.3917,4.18924,3.14205,0.524074,0,-0.293509,-0.000386652,9.20685e-09,-1.29976,0.000130714,-0.000128868,0.000128811,-1.02825,-0.0711111,-0.0176988,0.572862,36667.7,-13304.8,0.470446,28336,-3562.74,-3.73171,22969.8,53.4475,3.85136
0.04,-6.50023,-3.00805,119.924,122.973,4.56983e-05,124.88,-0.522354,20.9274,0.546813,17.6151,3.14133,67.2219,2.2263,-28.0746,3.28733,-24.4012,-0.391266,179.949,4.1894,12.0069,3.1706,14.6482,0.521892,-5.45023,-3.00866,-7.80864,-1.41248,-7.7763,-4.66903,-4.90023,-3.00798,-7.30029,-1.62244,-7.30017,-4.39373,21.4745,-24.396,14.6556,1.39071,-6.00805,-0.110896,4.56983e-05,1.68117,-0.522354,-6.41166,0.524843,0.0709717,3.14284,-15.2925,2.2263,3.55306,3.2735,0.0721359,-0.391693,-16.235,4.1894,2.30232,3.1422,0.0665539,0.524227,0.262789,3.94952,-0.829389,-4.93641,4.09887,-547.172,-394.593,655.298,-309.691,527.186,411.448,-683.292,309.158,7.21794,0.376937,0.0048837,-0.00811039,0.0605368,-33.4482,-87.9366,46.2841,0,-7.27321,-203.104,23.4028,-15.7273,-9.54497,-10.2545,0.00503185,-0.00183024,2.95613,-133.147,-104.793,50.516,25.1714,327.509,21.9404,-12.6112,-12.5724,15.3589,11.4702,-0.0191211,0.00649639,0.00646804,5.11886,-5.11623,-0.300808,753.583,908.039,980.007,1072.48,880.793,-3419.11,-1240.05,-1239.66,1342.01,757.457,758.575,-0.12382,0.187266,-0.303972,-6.5,3,-6.00805,0,0,-2.84495e-16,1.73472e-16,-2.82543e-16,2.67493e-16,-6.21031e-16,-1.76248e-15,-1.76533e-15,-3.1225e-16,-5.96745e-16,-5.8715e-16,0,-0.522354,-0.959868,0.524843,0.0146242,3.14159,2.2263,0.710614,3.2735,0.0144272,-0.392699,4.1894,0.460433,3.14222,0.0133108,0.523599,0,0,0,104.853,4.56983e-05,-0.522354,0.524843,3.14284,2.2263,3.2735,-0.391693,4.1894,3.1422,0.524227,0,-2.51431,3.07164,-7.16236e-05,1030.22,0.00129361,1.02377,-1.02325,-1.24327,-0.0711111,-0.0176988,0.572761,-530928,310647,-1.71865,28323,-3453.5,-1.55518,39018.6,-5243.63,4.95047
0.06,-6.50023,-3.0081,196.563,207.763,4.52805e-05,130.977,-0.522342,-28.8961,0.498351,-27.8556,3.12878,261.167,2.2263,-360.833,3.27117,-357.255,-0.390869,156.763,4.1894,-58.3779,3.16,-55.8264,0.525075,-5.45023,-3.00872,-7.80864,-1.41253,-7.77631,-4.66909,-4.90023,-3.00803,-7.3003,-1.6225,-7.30017,-4.39378,-28.3849,-357.17,-55.743,0.346302,-6.0081,-0.0151552,4.52805e-05,-6.53223,-0.522342,5.74525,0.524856,0.0722538,3.14285,-3.96446,2.2263,0.940015,3.2735,0.0711815,-0.391693,6.93377,4.1894,-4.9551,3.14221,0.0723649,0.524233,0.00621499,0.78214,-0.0535424,-0.977653,0.883735,4.85762,2.22048,-4.0151,6.02814,-36.5964,1.25636,-2.27072,-6.01783,-4.53776,2.79082,0.0011462,-0.00207206,-0.498366,-77.3669,-25.1586,6.50492,0,7.11593,34.0623,9.39626,-1.25463,-0.654511,-0.150117,0.00173141,-6.59969e-05,0.202705,17.6389,-8.75559,10.8773,11.0634,53.0058,-1.64747,-2.7119,-5.52581,-4.19782,7.07074,-0.000708428,0.00140623,0.00286158,-1.39906,1.39834,0.133862,3831.96,4239.52,304.852,-1418.7,-1392.74,9697.26,-17878,-17882.4,-1159.27,-2761.79,-2765.15,0.459257,0.0757601,0.490159,-6.5,3,-6.0081,0,0,-7.49401e-16,1.38778e-17,1.42724e-15,-1.36772e-15,9.02056e-17,1.249e-16,1.2488e-16,0,4.44089e-16,4.18936e-16,0,-0.522342,0.866799,0.524856,0.0140762,3.14159,2.2263,0.188004,3.2735,0.0142363,-0.392699,4.1894,-0.99095,3.14223,0.014473,0.523599,0,0,0,119.924,4.52805e-05,-0.522342,0.524856,3.14285,2.2263,3.2735,-0.391693,4.1894,3.14221,0.524233,0,-1.10509,-0.839524,1.95757e-05,-3556.17,0.000572316,-0.279812,0.279667,0.93224,-0.0711111,-0.0176988,0.572757,5338.86,4589.67,-1.56949,99735.3,-30722.3,-7.78583,-30823.6,18005.4,-6.02191
0.08,-6.50032,-3.00866,201.376,295.184,7.07401e-05,226.542,-0.522263,1020.18,0.512275,1024.77,3.14156,288.952,2.22656,4.31988,3.31984,7.97423,-0.459422,137.014,4.18964,-9.34745,3.17029,-6.57283,0.494981,-5.45032,-3.00929,-7.80882,-1.41325,-7.77628,-4.66979,-4.90032,-3.00855,-7.30042,-1.62308,-7.30022,-4.39436,1020.69,8.09914,-6.67214,-2.63644,-6.00866,3.68473,7.07401e-05,-11.0496,-0.522263,-2.57825,0.524934,0.0792925,3.14294,58.7616,2.22656,-14.5679,3.27376,0.959183,-0.391427,63.5762,4.18964,-10.3615,3.14244,-0.812225,0.524482,2.25637,12.7093,-5.72503,-15.8861,0.856981,766.094,13.4992,-1.4578,-25.8744,-859.332,44.5751,-4.80797,28.658,-2.47311,4.51274,-0.057383,0.00619026,1.46724,-601.74,-276.429,9.85077,0,15.4182,-2775.04,71.3387,-3.39716,31.6547,-213.1,-4.06898,0.104288,-9.16055,96.2451,-272.294,10.5579,-17.0684,3700.39,38.1189,-2.63273,8.52169,-33.5372,53.7288,3.9816,-0.120499,0.389334,-11.6951,12.3,-0.539586,240.633,4371.05,4778.25,51039.5,51242.4,1389.22,379.682,383.834,-987.493,-310.25,-298.648,0.026098,-0.404495,0.43232,-6.5,3,-6.00866,0,0,2.67147e-16,2.11636e-16,1.41684e-15,-1.4203e-15,-1.70003e-15,3.33067e-16,3.53884e-16,1.30451e-15,-5.2458e-15,-5.36376e-15,0,-0.522263,-0.340856,0.524946,0.0153594,3.14159,2.22656,-2.91354,3.27376,0.191837,-0.392699,4.18964,-2.07205,3.14248,-0.162445,0.523599,0,0,0,196.563,7.07401e-05,-0.522263,0.524934,3.14294,2.22656,3.27376,-0.391427,4.18964,3.14244,0.524482,0,1.70413,-6.7069,0.000309395,-306.33,0.0778669,-2.33901,2.45999,88.4285,-0.0711111,-0.0176988,0.572717,-3664.42,10571.7,-20.0179,22576.3,-1707.12,550.151,14865.4,2419.26,-429.429
0.1,-6.50061,-3.00922,296.169,398.481,0.000114545,302.384,-0.522702,50.2504,0.521212,50.912,3.14224,413.388,2.22676,-74.9396,3.20542,-73.9632,-0.390401,183.147,4.18996,21.839,3.15628,17.6496,0.533021,-5.45061,-3.00953,-7.80921,-1.41393,-7.77645,-4.67051,-4.90061,-3.00904,-7.30077,-1.62367,-7.30046,-4.39495,50.771,-71.3438,24.4623,0.18609,-6.00922,-0.251689,0.000114545,1.91379,-0.522702,-0.879527,0.524495,0.0738411,3.14249,-8.39318,2.22676,3.55369,3.27395,-0.039215,-0.391254,-10.113,4.18996,3.44281,3.14276,1.26789,0.524772,0.0147638,0.633147,-0.158889,-0.791445,0.727256,12.2345,5.10269,-9.37775,5.75506,-17.9723,-2.93427,5.39264,-6.76093,4.60776,-0.680209,0.000496636,-0.000912127,-0.719543,-13.7726,-12.4424,8.96787,0,2.08955,-58.4346,2.7383,-3.25836,-3.27013,-5.42898,-0.204236,0.12451,0.93529,-15.8974,-23.6261,8.98306,28.6234,128.225,6.91558,-2.24349,-14.2827,9.30424,1.7906,2.08959,-0.502064,-3.1885,3.79495,-5.10536,0.120431,4739.64,5164.84,3792.12,2545.62,2552.7,6221.8,-3583.28,-3712.04,2306.66,1249.09,923.986,-0.846201,0.754668,-2.16614,-6.5,3,-6.00922,0,0,-7.16094e-15,1.13798e-15,1.70697e-15,-1.48492e-15,-6.96665e-15,-1.28786e-14,-1.06165e-14,-8.35443e-15,7.66054e-15,9.10383e-15,0,-0.522702,-0.104083,0.524494,0.014884,3.14159,2.22676,0.710776,3.27394,-0.007843,-0.392699,4.18996,0.688559,3.14277,0.253579,0.523599,0,0,0,201.376,0.000114545,-0.522702,0.524495,3.14249,2.22676,3.27395,-0.391254,4.18996,3.14276,0.524772,0,-2.85652,1.86084,-5.39677e-06,4243.79,-0.6377,0.758989,-1.02107,1462.24,-0.0711111,-0.0176988,0.572678,32824.9,-13914.7,-2.25166,9282.14,3392.25,326.182,87347.7,-13991.6,-7331.84
0.12,-6.50097,-3.00942,340.722,479.324,1.93776e-05,332.916,-0.521863,10.4213,0.406937,10.3177,3.16068,297.35,2.22707,-24.2705,3.20298,-21.5459,-0.42479,166.593,4.18962,-1525.03,3.12302,-1095.71,0.526269,-5.45097,-3.01034,-7.80951,-1.41422,-7.77706,-4.67042,-4.90097,-3.00939,-7.301,-1.6238,-7.30095,-4.39508,10.8091,-20.6428,-1522.43,0.664119,-6.00942,-1.15128,1.93776e-05,15.3718,-0.521863,-9.23524,0.525334,0.029132,3.14332,-23.7596,2.22707,8.36448,3.27427,-0.344436,-0.390924,-4.72825,4.18962,-3.85274,3.14243,0.0494433,0.524368,0.0269144,1.34284,-0.27588,-1.67857,0.930791,33.0635,14.1733,-15.7183,17.7579,-274.193,-8.0146,8.88823,-17.4555,16.6034,-11.4168,-0.0253265,0.0280865,-1.57156,1782.66,-6.95615,16.8797,0,8.97918,-1629.06,-6.14704,-7.4992,-11.3537,15.9285,0.157089,0.347134,3.22879,-100.324,-13.6924,11.4517,18.8081,61.8694,-3.5008,-2.85162,-9.39051,-0.1537,9.14539,0.410808,-0.698618,-2.29625,-0.0637701,0.0885442,0.175385,2227.68,4042.14,1526.61,546.501,513.805,-5801.91,-1049.81,-1090.66,-827.664,-76094.2,-54742.8,0.517392,-0.401542,-0.00548403,-6.5,3,-6.00942,0,0,2.4078e-15,-6.55032e-15,-1.99129e-14,2.02546e-14,4.96131e-16,2.33147e-15,2.08861e-15,9.04832e-15,9.76996e-15,1.10398e-14,0,-0.521863,-1.40553,0.525327,-0.00114881,3.14159,2.22707,1.67291,3.27427,-0.0688872,-0.392699,4.18962,-0.770718,3.14236,0.00988866,0.523599,0,0,0,296.169,1.93776e-05,-0.521863,0.525334,3.14332,2.22707,3.27427,-0.390924,4.18962,3.14243,0.524368,0,-1.87841,-0.0307439,-3.85968e-06,-3861.23,-0.459249,-0.012754,0.0177088,-381.387,-0.0711111,-0.0176988,0.572663,44841.8,-17528.2,-59.4486,-96085.6,45740.2,-1751.35,-35038.5,17561.9,1905.9
0.14,-6.50146,-3.00937,342.718,484.708,-0.000161647,341.25,-0.521265,5.99536,0.534175,6.49071,3.12796,307.874,2.22713,-10.5724,3.19419,-7.43411,-0.420356,176.124,4.19,0.882997,3.04415,2.24056,0.53894,-5.45146,-3.01091,-7.80976,-1.41406,-7.77768,-4.67044,-4.90146,-3.00963,-7.30124,-1.6236,-7.30169,-4.39488,6.54317,-6.9578,3.38821,4.05387,-6.00942,-8.03833,-0.000161647,53.9097,-0.521265,-2.98781,0.525933,-0.00859337,3.14393,-104.103,2.22713,23.2771,3.27433,-4.68428,-0.390863,-108.937,4.19,13.8799,3.1428,5.1177,0.524783,3.36919,29.2698,162.395,-36.5621,13.6571,1136.36,184.764,-138.11,38.3355,-4187.34,-18.0562,13.4833,-26.5315,32.8258,-22.2759,-0.254753,0.190459,-9.34982,26947.6,-349.338,210.714,0,-43.0618,-25286.3,-12.1458,-87.3074,-40.4995,1703.66,-9.49278,12.5147,10.7252,-2224.01,-545.255,168.191,29.6157,12282.1,46.7821,-41.8543,-14.7768,53.411,-114.658,26.2197,-6.88593,-2.42338,20.7314,-25.5677,0.818823,99.7913,269.198,416.708,310.681,308.841,526.207,-364.901,-370.117,476.536,201.29,150.203,0.356674,-0.446784,0.594449,-6.5,3,-6.00942,0,0,8.25728e-16,-1.33227e-15,1.00336e-14,-1.01447e-14,-9.63812e-15,-4.55191e-15,-2.77556e-15,-2.63678e-16,-3.83027e-15,-4.21885e-15,0,-0.521265,-0.568873,0.525934,-0.00051002,3.14159,2.22713,4.65536,3.27433,-0.936856,-0.392699,4.19,2.77614,3.14278,1.02354,0.523599,0,0,0,340.722,-0.000161647,-0.521265,0.525933,3.14393,2.22713,3.27433,-0.390863,4.19,3.1428,0.524783,0,-2.95559,10.6828,0.000480448,-817.896,-0.484676,4.14627,-5.11355,147.979,-0.0711111,-0.0176988,0.572663,17193.9,-850.947,-25.7204,-51387.3,31416.2,-2688.01,10403.1,4531.57,-822.155
0.16,-6.50204,-3.00936,439.271,524.816,-0.000240502,361.365,-0.521579,-71.0078,0.522521,-80.287,3.14564,836.101,2.22653,113.466,3.30344,88.618,-0.389966,218.374,4.18963,-50.723,3.07041,-37.6144,0.519175,-5.45204,-3.01088,-7.81009,-1.41366,-7.77846,-4.6702,-4.90204,-3.00974,-7.30171,-1.62353,-7.30237,-4.39481,-70.4894,117.159,-48.1717,0.167586,-6.00942,0.767947,-0.000240502,-8.0039,-0.521579,0.728481,0.525618,0.0050354,3.14363,4.29684,2.22653,-1.01519,3.27373,0.473548,-0.391481,12.4832,4.18963,-4.62432,3.14243,-0.489057,0.524432,0.0165724,0.621706,0.60108,-0.77737,1.86379,241.459,-1.68642,8.09862,-7.66611,-169.067,2.69283,-12.9163,3.28206,-2.62675,4.28685,-0.075551,0.362444,0.872935,10.8288,-12.403,22.7625,0,0.532621,-18.4045,2.80138,-8.21416,1.99706,-1.26457,-1.23053,1.86662,-0.592602,20.084,-11.143,22.9511,3.43861,145.483,0.775726,-5.71741,-1.7168,-4.83031,-4.99085,0.638843,-1.15299,-0.345348,-1.93444,2.51892,-0.119336,4827.62,2005.41,1005.72,-3554.53,-4041.05,26411.4,5836.98,4447.69,2112.49,-2379.03,-1840.41,0.933313,-0.70581,1.72216,-6.5,3,-6.00942,0,0,-4.77396e-15,-4.34375e-15,-1.21569e-14,1.16573e-14,-4.59355e-15,3.08087e-14,1.12688e-14,-2.77556e-17,-8.88178e-15,-9.99201e-15,0,-0.521579,0.144787,0.525639,0.00462654,3.14159,2.22653,-0.203053,3.27371,0.0947097,-0.392699,4.18963,-0.924887,3.14243,-0.0978114,0.523599,0,0,0,342.718,-0.000240502,-0.521579,0.525618,3.14363,2.22653,3.27373,-0.391481,4.18963,3.14243,0.524432,0,-0.343367,-0.966078,-1.46407e-05,-1536.03,-0.0690696,-0.386888,0.503785,154.174,-0.0711111,-0.0176988,0.572663,-20645.5,13157.9,-367.258,11063.2,814.5,2189.5,-600.925,8628.02,-763.312
0.18,-6.50262,-3.00944,515.502,626.635,-0.000296226,634.572,-0.521414,-81.6685,0.521482,-111.656,3.14737,930.545,2.22554,44.8935,3.26239,32.4275,-0.395889,136.618,4.19012,-26.8793,3.11564,-18.8815,0.518925,-5.45262,-3.01113,-7.81039,-1.4132,-7.779,-4.67043,-4.90262,-3.00992,-7.30221,-1.62356,-7.30303,-4.39485,-81.1528,48.5518,-24.2826,-0.352924,-6.00942,0.634941,-0.000296226,-5.65104,-0.521414,1.7271,0.525784,-0.0502299,3.14379,6.95176,2.22554,-1.03475,3.27274,1.1633,-0.392466,17.1818,4.19012,-5.36914,3.14292,-1.11825,0.524873,0.137204,0.790165,0.224568,-0.987757,0.737052,-13.3639,5.52454,-8.24313,1.72998,-35.6496,0.659901,-0.986061,-0.500473,-2.10486,-2.51141,0.130397,-0.194573,0.922004,15.406,-17.2764,8.44317,0,4.78931,-50.526,4.47776,-2.89805,4.84051,-5.00487,-2.05292,0.715656,-1.52705,6085.84,-173.541,9.51851,-149.489,-2731.27,80.4871,-2.47764,74.5728,-9.61162,-657.209,17.9466,-0.534074,16.0198,-3.89336,5.17277,0.134536,3811.54,5090.95,13660.3,-4095.36,-5614.95,4722.18,2408.31,1642.07,-4087.82,-1186.82,-903.01,0.0942652,-0.221188,0.443008,-6.5,3,-6.00942,0,0,-1.4988e-15,-7.45931e-16,7.4038e-15,-7.04992e-15,-4.05231e-15,5.84949e-15,5.48173e-15,-3.83027e-15,2.22045e-15,2.41474e-15,0,-0.521414,0.326891,0.5258,0.000830898,3.14159,2.22554,-0.206971,3.27273,0.232659,-0.392699,4.19012,-1.07398,3.14287,-0.22365,0.523599,0,0,0,439.271,-0.000296226,-0.521414,0.525784,3.14379,2.22554,3.27274,-0.392466,4.19012,3.14292,0.524873,0,14.9166,-1.92253,-0.000182272,58734.6,3.20396,-0.778671,1.03455,13110.8,-0.0711111,-0.0176988,0.572663,18832.9,2110.31,491.655,24850.4,-6397.77,4163.75,904556,-227896,-65536.5
